song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
She Got The Best Of Me ,Luke Combs,54,51.0,34,20,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c,,,,,,,,,
The Christmas Song,Lauren Daigle,55,90.0,55,2,9ffea3b6-fb88-4507-a5fc-113cc46f782f,,,,,,,,,
Uproar,Lil Wayne,56,49.0,7,13,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,57,,57,1,22170a19-4923-4dfb-8708-b38b9e6314c1,,,,,,,,,
Can't Leave Without It,21 Savage,58,,58,1,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71,danceable,rhy,male,not_aggressive,voice,131.968734741,A,0.771034955978,not_happy
You Say,Lauren Daigle,59,59.0,44,24,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,60,57.0,57,6,ef25078d-6942-42ab-8254-02af8ac428b8,,,,,,,,,
Best Shot,Jimmie Allen,61,55.0,46,15,1e933b5d-6956-4cb4-9973-03edc2f72356,,,,,,,,,
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,62,53.0,31,19,d3066bda-ac67-40db-ae21-dbc1c64b436b,,,,,,,,,
Be Alright,Dean Lewis,63,63.0,63,9,6cb28fbd-05fc-479b-b192-a498f79b3e2e,danceable,pop,female,not_aggressive,voice,126.561714172,B,0.744760930538,not_happy
Drunk Me,Mitchell Tenpenny,64,54.0,53,20,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,,65,1,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy
Look Back At It,A Boogie Wit da Hoodie,66,96.0,66,3,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy
All My Friends,21 Savage,67,,67,1,c0535b05-7475-4219-8c6a-6b3bfa1a2dfc,danceable,pop,male,not_aggressive,voice,129.906921387,E,0.849722862244,not_happy
BAD!,XXXTENTACION,68,52.0,16,7,0e20165f-e02e-4472-9f4a-80ecacc5bda7,danceable,rhy,female,not_aggressive,voice,144.020614624,F,0.843534529209,not_happy
Backin' It Up,Pardison Fontaine Featuring Cardi B,69,64.0,64,11,737b1774-76b5-428d-a7e8-e6d127f0a2d9,,,,,,,,,
Break Da Law,21 Savage,70,,70,1,50e39a3a-1c30-4458-be7f-5b22bfe5b89f,danceable,hip,female,not_aggressive,voice,140.900024414,A#,0.836931109428,not_happy
Imagine,Ariana Grande,71,24.0,24,2,4c29857e-06f1-4c17-b459-e7f74651f74f,,,,,,,,,
Talk To Me,Tory Lanez & Rich The Kid,72,61.0,61,9,dd058edd-e931-449b-a387-61b3aea393ce,,,,,,,,,
Monster,21 Savage,73,,73,1,b27f812f-2aba-4c08-b1b1-f079666e5609,danceable,rhy,female,not_aggressive,instrumental,133.933944702,F,0.490655571222,not_happy
Calling My Spirit,Kodak Black,74,46.0,46,4,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy
Consequences,Camila Cabello,75,69.0,69,8,4e5937a1-c276-427d-8d50-b788f4245c73,,,,,,,,,
Armed And Dangerous,Juice WRLD,76,60.0,44,7,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,77,62.0,28,9,046e4997-7da3-49ab-bf43-b39bbc75149b,,,,,,,,,
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,78,56.0,56,4,6162d588-4536-4eaa-902b-5b206a9c8d61,,,,,,,,,
Sixteen,Thomas Rhett,79,67.0,67,7,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy
Burning Man,Dierks Bentley Featuring Brothers Osborne,80,65.0,65,10,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy
Beautiful Crazy,Luke Combs,81,81.0,58,7,6d95ede5-1d26-43b4-b53a-56f2cbe0958b,,,,,,,,,
When The Party's Over,Billie Eilish,82,77.0,52,10,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy
Sweet But Psycho,Ava Max,83,87.0,83,2,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,84,66.0,66,11,abd4796b-fbeb-4996-8489-5545f56eb3bd,,,,,,,,,
You,Jacquees,85,75.0,75,5,6c1c25e2-abd8-48d6-a951-977c06e5b6b2,,,,,,,,,
1.5,21 Savage,86,,86,1,e410fd46-eac2-4078-8e7a-474c526fb866,danceable,hip,female,not_aggressive,voice,112.006027222,A#,0.949841678143,not_happy
Girl Like You,Jason Aldean,87,71.0,71,5,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Out For The Night,21 Savage,88,,88,1,5ebc2841-3320-44c2-838a-4f40aaf0235e,danceable,hip,female,not_aggressive,voice,115.518218994,A#,0.850204050541,not_happy
Good Girl,Dustin Lynch,89,72.0,72,7,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
No Stylist,French Montana Featuring Drake,90,73.0,47,14,85df07aa-4b16-4d77-9f56-c2a24f1e9b2d,,,,,,,,,
Lovely,Billie Eilish & Khalid,91,89.0,78,9,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy
Ella Quiere Beber,Anuel AA & Romeo Santos,92,80.0,79,8,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Gun Smoke,21 Savage,93,,93,1,80db7e9d-ac83-4c8b-a45d-a8039988244c,danceable,hip,female,not_aggressive,voice,85.9376373291,A#,0.889067828655,not_happy
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,,94,1,409aa93f-01ab-46f0-b83c-b919ccb4afed,not_danceable,roc,female,aggressive,voice,129.932723999,A#,0.972659707069,happy
ASMR,21 Savage,95,,95,1,255b4034-66b2-45ed-9494-6020634e5048,danceable,rhy,male,not_aggressive,voice,112.828994751,A#,0.721184790134,not_happy
Last Shot,Kip Moore,96,78.0,78,6,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Fine China,Future & Juice WRLD,97,82.0,26,10,69841c73-2b3a-479a-bcf8-bae97cc631ae,,,,,,,,,
Envy Me,Calboy,98,91.0,91,2,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d,,,,,,,,,
Lost In Japan,Shawn Mendes X Zedd,99,83.0,48,14,d45a6c78-6dd4-405b-bf41-f26e3269ac7a,,,,,,,,,
This Is It,Scotty McCreery,100,84.0,84,3,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Without Me,Halsey,1,2.0,1,13,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
"Thank U, Next",Ariana Grande,2,1.0,1,9,6dcc5517-9b5c-43f8-85f0-f25beb95a293,,,,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,5.0,3,11,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
Sicko Mode,Travis Scott,4,4.0,1,22,69913c93-47b1-4196-acc9-f492f6db35f5,,,,,,,,,
High Hopes,Panic! At The Disco,5,6.0,5,22,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,Marshmello & Bastille,6,7.0,3,20,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy
Girls Like You,Maroon 5 Featuring Cardi B,7,14.0,1,32,f7a4d178-cd3a-4f19-8951-8e84486d4a36,,,,,,,,,
Drip Too Hard,Lil Baby & Gunna,8,12.0,4,16,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy
ZEZE,Kodak Black Featuring Travis Scott & Offset,9,15.0,2,12,bf5fdcbb-8108-4cf1-ae65-2aeb3fa3c280,,,,,,,,,
Better Now,Post Malone,10,23.0,3,36,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Eastside,"benny blanco, Halsey & Khalid",11,21.0,11,25,bda15326-0c46-4bbd-954d-163de73f5365,,,,,,,,,
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,18.0,11,16,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy
Wow.,Post Malone,13,47.0,13,2,112ff70c-7e9a-46df-9235-e82939575ad0,,,,,,,,,
Youngblood,5 Seconds Of Summer,14,24.0,7,31,29f9b50f-5771-4403-85d3-a9e09fec1693,,,,,,,,,
Mo Bamba,Sheck Wes,15,17.0,6,19,a36d5faf-376b-41f7-ba54-97df8f2e17ca,,,,,,,,,
Breathin,Ariana Grande,16,22.0,12,20,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy
Money,Cardi B,17,19.0,13,11,285cc41e-e9b1-435d-92b7-3f88733afca1,,,,,,,,,
Lucid Dreams,Juice WRLD,18,27.0,2,34,e7e7afbb-ffba-4a06-bb2e-745e6ee98979,,,,,,,,,
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",19,30.0,11,14,0f0663a4-bedd-4266-bd52-272cf49db18a,,,,,,,,,
MIA,Bad Bunny Featuring Drake,20,31.0,5,12,12eb8e42-4e90-462d-acff-cea62556c60b,,,,,,,,,
Going Bad,Meek Mill Featuring Drake,21,36.0,6,5,87d28876-a4f9-44bc-9171-3c6dd19f3bc5,,,,,,,,,
Leave Me Alone,Flipp Dinero,22,33.0,22,16,ad4f29b8-c40e-470c-98ff-91ee966fa058,danceable,hip,female,not_aggressive,voice,150.235183716,A#,0.783627867699,not_happy
Trip,Ella Mai,23,38.0,11,22,834fd36c-8813-49fe-8a30-ac0f7cf498bb,,,,,,,,,
Speechless,Dan + Shay,24,41.0,24,17,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Natural,Imagine Dragons,25,46.0,13,24,f2cde891-c5e7-4579-b2ea-35382d8588a2,,,,,,,,,
I Like It,"Cardi B, Bad Bunny & J Balvin",26,39.0,1,39,ec3687e5-77a2-4b70-8691-c3e80abe8089,,,,,,,,,
Love Lies,Khalid & Normani,27,48.0,9,46,a5c11c65-acb7-4ee8-87de-e92f9cffbdf8,not_danceable,cla,male,not_aggressive,instrumental,135.859542847,G,0.670250713825,not_happy
Beautiful,Bazzi Featuring Camila Cabello,28,50.0,28,22,83b1d16a-25c3-4429-b06d-03c08db66679,not_danceable,cla,male,not_aggressive,instrumental,84.0190811157,G,0.626622319221,not_happy
Shallow,Lady Gaga & Bradley Cooper,29,52.0,5,14,baf7fd65-40bc-48be-a224-9c725f2b8f76,,,,,,,,,
Better,Khalid,30,51.0,29,16,9b8fe367-124f-4ead-a03c-d2d5b890c507,,,,,,,,,
