song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Sunflower (Spider-Man: Into The Spider-Verse),2019-03-23,Post Malone & Swae Lee,2,4.0,1,21,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
Without Me,2019-03-23,Halsey,3,5.0,1,23,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
Please Me,2019-03-23,Cardi B & Bruno Mars,4,3.0,3,4,fe4c55b2-1a6e-48b2-991a-1fbe2be9eaf1,danceable,pop,female,not_aggressive,instrumental,133.96182251,A#,0.867882609367,not_happy
Middle Child,2019-03-23,J. Cole,8,9.0,4,8,3f48a631-dea1-480d-9433-f3b97e63246a,danceable,rhy,female,not_aggressive,voice,123.875442505,A#,0.805558085442,not_happy
Shallow,2019-03-23,Lady Gaga & Bradley Cooper,9,6.0,1,24,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4,,,,,,,,,
Sicko Mode,2019-03-23,Travis Scott,10,10.0,1,32,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
Thotiana,2019-03-23,Blueface,11,13.0,9,9,710f99d3-fa5d-4ab0-917d-374358e034c2,danceable,rhy,male,not_aggressive,voice,103.95426178,A#,0.692185342312,not_happy
High Hopes,2019-03-23,Panic! At The Disco,12,12.0,4,32,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Eastside,2019-03-23,"benny blanco, Halsey & Khalid",13,14.0,9,35,787087cb-cb94-442d-98dd-2eddc59f1f84,danceable,rhy,female,not_aggressive,voice,89.8307800293,D,0.846083641052,not_happy
"Break Up With Your Girlfriend, I'm Bored",2019-03-23,Ariana Grande,15,15.0,2,5,3076f81d-0d2d-4d3a-acca-a9867b88beca,,,,,,,,,
