song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
MEGATRON,2019-07-20,Nicki Minaj,97,92.0,20,3,1327b608-c616-409e-bec0-0f11a78a662f,danceable,rhy,female,not_aggressive,voice,93.960395813,C,0.900866448879,happy
Bad Guy,2019-07-27,Billie Eilish,2,2.0,2,16,1e9792da-e83d-4a4f-843b-6799efa84108,,,,,,,,,
I Don't Care,2019-07-27,Ed Sheeran & Justin Bieber,3,6.0,2,10,09fe14ca-7734-4fa0-9365-8159d236d7af,danceable,rhy,female,not_aggressive,voice,102.037666321,F#,0.942279100418,not_happy
Senorita,2019-07-27,Shawn Mendes & Camila Cabello,4,5.0,2,4,bef6b06e-f06a-4af4-a4c4-8b91a9864847,,,,,,,,,
Talk,2019-07-27,Khalid,5,4.0,3,23,1a4d507e-1c64-45e9-8ee5-e3963be93c91,,,,,,,,,
Truth Hurts,2019-07-27,Lizzo,6,7.0,6,11,1e88ada8-7fea-49d0-9e21-0413485fc694,,,,,,,,,
Goodbyes,2019-07-27,Post Malone Featuring Young Thug,7,3.0,3,2,d23659cc-7bad-4cdc-93e1-ced6426e3c4b,,,,,,,,,
Sucker,2019-07-27,Jonas Brothers,8,8.0,1,20,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3,,,,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),2019-07-27,Post Malone & Swae Lee,9,9.0,1,39,74ce027a-e5a1-47f4-8997-68d89febca3f,,,,,,,,,
No Guidance,2019-07-27,Chris Brown Featuring Drake,10,12.0,9,6,897719b4-e6dd-41c2-bd3d-9d43cab454a5,,,,,,,,,
Suge,2019-07-27,DaBaby,11,10.0,7,16,c2f85f3b-7e61-4495-be2f-c853bb26c915,danceable,rhy,female,not_aggressive,voice,151.02557373,A#,0.600766956806,not_happy
If I Can't Have You,2019-07-27,Shawn Mendes,13,14.0,2,11,6dd2d92e-90f0-4f23-aab6-87316a653b4f,danceable,rhy,male,not_aggressive,instrumental,120.9034729,A,0.940785050392,not_happy
Wow.,2019-07-27,Post Malone,14,13.0,2,30,1de0c612-7251-40bf-aec9-a53bb1157c06,,,,,,,,,
You Need To Calm Down,2019-07-27,Taylor Swift,15,16.0,2,5,f40d709b-4e48-4e40-ab6b-4a02ec39498c,,,,,,,,,
"Hey Look Ma, I Made It",2019-07-27,Panic! At The Disco,16,18.0,16,14,057c8042-8030-4070-b01b-b11b00817a0d,not_danceable,pop,male,not_aggressive,voice,108.025169373,A#,0.916709542274,not_happy
Pop Out,2019-07-27,Polo G Featuring Lil Tjay,22,21.0,11,17,a90d60b3-e647-4460-8258-e319f00c8e5d,danceable,hip,female,not_aggressive,voice,83.9410018921,A#,0.924027383327,happy
Beer Never Broke My Heart,2019-07-27,Luke Combs,24,23.0,22,11,51899a1a-8d48-4adb-a43a-1deef603de1a,,,,,,,,,
Someone You Loved,2019-07-27,Lewis Capaldi,26,36.0,26,10,b3aa767f-c9a0-452f-ba68-ff682e6acb3a,,,,,,,,,
Happier,2019-07-27,Marshmello & Bastille,27,22.0,2,48,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
The London,2019-07-27,"Young Thug, J. Cole & Travis Scott",28,29.0,12,8,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy
Panini,2019-07-27,Lil Nas X,29,27.0,16,4,fa60c2aa-288c-4f23-846d-05ef9b4d22b7,danceable,dan,female,not_aggressive,instrumental,153.541397095,F,0.783972978592,not_happy
7 Rings,2019-07-27,Ariana Grande,30,24.0,1,26,7203c23a-5f31-4847-a50e-8a67bb26b43b,,,,,,139.925857544,,0.491832822561,
Sweet But Psycho,2019-07-27,Ava Max,31,25.0,10,31,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9,danceable,pop,female,not_aggressive,voice,132.992660522,C#,0.925689935684,happy
Never Really Over,2019-07-27,Katy Perry,32,31.0,15,7,625fa4e1-4ab7-48fb-b4b0-2c2b7548522d,danceable,pop,female,not_aggressive,instrumental,99.8707962036,G#,0.841673135757,happy
Whiskey Glasses,2019-07-27,Morgan Wallen,33,28.0,17,20,fac61a09-4c85-4583-8786-ad7c41b00c48,danceable,roc,male,not_aggressive,voice,150.107376099,F#,0.960179388523,happy
Speechless,2019-07-27,Dan + Shay,34,34.0,24,30,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
High Hopes,2019-07-27,Panic! At The Disco,35,33.0,4,50,f3e9f6f4-130c-420f-b90e-aa1bad4263b5,,,,,,,,,
Shotta Flow,2019-07-27,NLE Choppa,36,38.0,36,13,6d3e01df-4892-4536-8622-8d2655959c11,,,,,,,,,
Knockin' Boots,2019-07-27,Luke Bryan,41,48.0,41,12,34b5e938-5d4c-40ef-acb4-e8bb8c386d58,,,,,,,,,
Some Of It,2019-07-27,Eric Church,43,49.0,43,8,08eaa326-a4df-434f-a0fa-a950dc8ac51f,not_danceable,pop,male,not_aggressive,voice,161.530700684,C,0.92039513588,not_happy
Better,2019-07-27,Khalid,44,47.0,8,44,9b8fe367-124f-4ead-a03c-d2d5b890c507,,,,,,,,,
Pure Water,2019-07-27,Mustard & Migos,45,39.0,23,25,bc7f1e75-755d-465b-a6d0-b7403361a77b,danceable,rhy,female,not_aggressive,voice,101.053527832,F,0.912181675434,not_happy
My Type,2019-07-27,Saweetie,47,67.0,47,3,243f2558-8612-44b0-bf38-287acf7e44d7,danceable,hip,female,not_aggressive,voice,104.986694336,C,0.954523861408,happy
Shallow,2019-07-27,Lady Gaga & Bradley Cooper,48,45.0,1,42,e8191687-56bf-4e69-860f-a898735ec268,,,,,,,,,
Sicko Mode,2019-07-27,Travis Scott,49,50.0,1,50,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
All To Myself,2019-07-27,Dan + Shay,51,57.0,51,11,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy
GIRL,2019-07-27,Maren Morris,52,59.0,52,20,21b84faf-c629-4cf7-a535-bfc7a7ef1f00,,,,,,,,,
Go Loko,2019-07-27,"YG, Tyga & Jon Z",54,53.0,49,11,3e011372-da42-41d4-b85e-c2b8d374c7fb,,,,,,,,,
ME!,2019-07-27,Taylor Swift Featuring Brendon Urie,55,52.0,2,13,26359b00-81fa-4f04-bcb5-d1f3955e72e7,danceable,pop,male,not_aggressive,voice,90.9808654785,F,0.97845607996,happy
Nightmare,2019-07-27,Halsey,59,54.0,15,9,35f9deaf-115c-4336-9971-5cee7563cf27,danceable,pop,female,not_aggressive,voice,145.993774414,A,0.728176057339,not_happy
Rearview Town,2019-07-27,Jason Aldean,62,69.0,62,8,c674c4a2-aab4-401b-b763-225b55485908,,,,,,,,,
Easier,2019-07-27,5 Seconds Of Summer,63,66.0,48,8,25597f61-a704-4c93-84b7-067812cbc6a1,danceable,rhy,female,not_aggressive,instrumental,87.826210022,F,0.857754409313,not_happy
Press,2019-07-27,Cardi B,64,58.0,16,7,48f06882-f06a-4c31-ad96-b90a448cba02,danceable,rhy,female,not_aggressive,voice,133.730072021,A#,0.787681996822,not_happy
EARFQUAKE,2019-07-27,"Tyler, The Creator",65,55.0,13,9,b9648e9e-e8b9-4db1-943e-eb1f6db72257,danceable,rhy,female,not_aggressive,voice,155.741531372,D,0.721960663795,not_happy
Callaita,2019-07-27,Bad Bunny & Tainy,67,73.0,67,6,3f288b3a-3270-4984-9638-201c4d6754d3,danceable,rhy,male,not_aggressive,voice,87.7952270508,D,0.871781170368,not_happy
Walk Me Home,2019-07-27,P!nk,69,70.0,49,20,0fce262b-e642-4444-b709-cde62dc680b3,not_danceable,pop,male,not_aggressive,voice,178.205947876,D,0.894077718258,happy
Talk You Out Of It,2019-07-27,Florida Georgia Line,70,77.0,70,22,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy
Look What God Gave Her,2019-07-27,Thomas Rhett,71,65.0,32,20,f07c7c8e-3f9b-4e11-b2cf-b9e59e211746,danceable,pop,male,not_aggressive,voice,112.852073669,D,0.949565172195,not_happy
Trampoline,2019-07-27,SHAED,72,78.0,72,7,51ae7463-3af5-4888-a468-895bebcbd37c,,,,,,,,,
Soltera,2019-07-27,"Lunay, Daddy Yankee & Bad Bunny",80,82.0,73,10,b1c455e7-7b2f-404d-b6e7-1261f182d915,danceable,rhy,male,not_aggressive,instrumental,91.9682846069,F,0.934272587299,not_happy
One Thing Right,2019-07-27,Marshmello & Kane Brown,82,79.0,57,4,bf93039e-4f44-4bca-822a-51031e6cfb11,danceable,pop,female,not_aggressive,voice,88.070274353,E,0.901040673256,happy
Tip Of My Tongue,2019-07-27,Kenny Chesney,83,,83,1,033b6083-bdc7-4740-a8b2-a9546625550a,danceable,pop,male,not_aggressive,voice,95.0201721191,F,0.828563511372,not_happy
Otro Trago,2019-07-27,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",84,91.0,81,6,6b048c69-73cf-4229-9006-0112dbea4adf,danceable,rhy,female,not_aggressive,instrumental,87.9576950073,F,0.948481440544,not_happy
Before I Let Go,2019-07-27,Beyonce,85,87.0,65,13,b9255bf6-41a2-4745-af43-c029ae07c298,,,,,,,,,
Only Human,2019-07-27,Jonas Brothers,87,100.0,87,5,4ff52497-b2ae-457b-9d1f-9233bff403ee,,,,,,,,,
No Me Conoce,2019-07-27,"Jhay Cortez, J Balvin & Bad Bunny",88,95.0,88,2,6776b802-e31b-49d5-a594-23296644b905,,,,,,,,,
Like A Rodeo,2019-07-27,Kane Brown,90,,90,1,bd9f9d43-cce9-4356-8848-c81da3eefc82,danceable,pop,male,not_aggressive,voice,120.018928528,F#,0.83751142025,not_happy
I Don't Know About You,2019-07-27,Chris Lane,91,98.0,91,2,8bc989a4-3153-46ad-bc6f-03d9558a5a7b,danceable,pop,female,not_aggressive,voice,143.862808228,C#,0.86237424612,happy
Time,2019-07-27,NF,92,,92,1,adad55ad-075a-489d-9a15-96800e5cd8c2,,,,,,,,,
Wake Up,2019-07-27,Travis Scott,100,93.0,30,7,7a68ab7b-a148-4917-882d-dea45d3de0a4,danceable,rhy,female,not_aggressive,voice,148.931900024,B,0.674654066563,not_happy
Bad Guy,2019-08-03,Billie Eilish,2,2.0,2,17,5fa39768-3e67-4e0d-a63a-29e022d2d00c,danceable,rhy,female,not_aggressive,voice,135.069717407,C,0.908594667912,not_happy
Senorita,2019-08-03,Shawn Mendes & Camila Cabello,3,4.0,2,5,bef6b06e-f06a-4af4-a4c4-8b91a9864847,,,,,,,,,
Talk,2019-08-03,Khalid,4,5.0,3,24,1a4d507e-1c64-45e9-8ee5-e3963be93c91,,,,,,,,,
Truth Hurts,2019-08-03,Lizzo,5,6.0,5,12,8bcfe2b6-e4db-480e-ae0d-b8b107d20ad1,,,,,,,,,
I Don't Care,2019-08-03,Ed Sheeran & Justin Bieber,6,3.0,2,11,7dd04da7-d337-4bda-ae6a-031a3653ae57,,,,,,,,,
Goodbyes,2019-08-03,Post Malone Featuring Young Thug,7,7.0,3,3,d23659cc-7bad-4cdc-93e1-ced6426e3c4b,,,,,,,,,
Sucker,2019-08-03,Jonas Brothers,8,8.0,1,21,31148286-91df-454f-a309-8e16767fac61,danceable,rhy,female,not_aggressive,voice,137.986099243,F#,0.924671113491,not_happy
Sunflower (Spider-Man: Into The Spider-Verse),2019-08-03,Post Malone & Swae Lee,9,9.0,1,40,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
If I Can't Have You,2019-08-03,Shawn Mendes,10,13.0,2,12,6dd2d92e-90f0-4f23-aab6-87316a653b4f,danceable,rhy,male,not_aggressive,instrumental,120.9034729,A,0.940785050392,not_happy
No Guidance,2019-08-03,Chris Brown Featuring Drake,11,10.0,9,7,897719b4-e6dd-41c2-bd3d-9d43cab454a5,,,,,,,,,
Suge,2019-08-03,DaBaby,12,11.0,7,17,fde4aee5-feb2-4222-aef3-962834d80929,danceable,rhy,female,not_aggressive,voice,151.006347656,A#,0.604345798492,not_happy
Someone You Loved,2019-08-03,Lewis Capaldi,20,26.0,20,11,b3aa767f-c9a0-452f-ba68-ff682e6acb3a,,,,,,,,,
God's Country,2019-08-03,Blake Shelton,21,20.0,17,17,e0287d0e-9d09-4ced-9434-fb9c27d7d17d,danceable,pop,male,aggressive,instrumental,139.890838623,F,0.922444462776,not_happy
Without Me,2019-08-03,Halsey,22,21.0,1,42,6333397f-2ecb-43d0-927c-adbc36c1bede,,,,,,,,,
The London,2019-08-03,"Young Thug, J. Cole & Travis Scott",23,28.0,12,9,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy
Beer Never Broke My Heart,2019-08-03,Luke Combs,24,24.0,22,12,51899a1a-8d48-4adb-a43a-1deef603de1a,,,,,,,,,
Pop Out,2019-08-03,Polo G Featuring Lil Tjay,26,22.0,11,18,a90d60b3-e647-4460-8258-e319f00c8e5d,danceable,hip,female,not_aggressive,voice,83.9410018921,A#,0.924027383327,happy
Happier,2019-08-03,Marshmello & Bastille,27,27.0,2,49,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Panini,2019-08-03,Lil Nas X,28,29.0,16,5,fa60c2aa-288c-4f23-846d-05ef9b4d22b7,danceable,dan,female,not_aggressive,instrumental,153.541397095,F,0.783972978592,not_happy
How Do You Sleep?,2019-08-03,Sam Smith,29,,29,1,ebc71d87-c1c6-404c-84b9-3a8e92287268,,,,,,,,,
Speechless,2019-08-03,Dan + Shay,30,34.0,24,31,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Sweet But Psycho,2019-08-03,Ava Max,31,31.0,10,32,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9,danceable,pop,female,not_aggressive,voice,132.992660522,C#,0.925689935684,happy
Never Really Over,2019-08-03,Katy Perry,32,32.0,15,8,625fa4e1-4ab7-48fb-b4b0-2c2b7548522d,danceable,pop,female,not_aggressive,instrumental,99.8707962036,G#,0.841673135757,happy
7 Rings,2019-08-03,Ariana Grande,33,30.0,1,27,fc8a804f-7c62-4e99-b614-1f7eb75a9482,,,,,,,,,
Knockin' Boots,2019-08-03,Luke Bryan,38,41.0,38,13,34b5e938-5d4c-40ef-acb4-e8bb8c386d58,,,,,,,,,
Rumor,2019-08-03,Lee Brice,39,39.0,25,20,8d9c5da7-09a9-4b76-b6d9-23b314399416,not_danceable,rhy,female,not_aggressive,voice,140.90145874,A,0.71574473381,not_happy
Act Up,2019-08-03,City Girls,40,38.0,26,21,7d2ef547-9835-484f-9143-a9afbe54a5b9,,,,,,,,,
All To Myself,2019-08-03,Dan + Shay,41,51.0,41,12,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy
Baby,2019-08-03,Lil Baby & DaBaby,42,,42,1,062f8de2-0b5a-467e-ae3f-70cc30440ccb,danceable,rhy,male,not_aggressive,voice,107.97882843,A#,0.697579324245,not_happy
Better,2019-08-03,Khalid,43,44.0,8,45,ba73118f-7c13-43f6-933c-9f048fe8c01f,danceable,hip,female,not_aggressive,instrumental,97.8721160889,A#,0.894053637981,not_happy
GIRL,2019-08-03,Maren Morris,44,52.0,44,21,21b84faf-c629-4cf7-a535-bfc7a7ef1f00,,,,,,,,,
Sicko Mode,2019-08-03,Travis Scott,46,49.0,1,51,69913c93-47b1-4196-acc9-f492f6db35f5,,,,,,,,,
Shallow,2019-08-03,Lady Gaga & Bradley Cooper,47,48.0,1,43,e8191687-56bf-4e69-860f-a898735ec268,,,,,,,,,
Middle Child,2019-08-03,J. Cole,49,40.0,4,27,3f48a631-dea1-480d-9433-f3b97e63246a,danceable,rhy,female,not_aggressive,voice,123.875442505,A#,0.805558085442,not_happy
ME!,2019-08-03,Taylor Swift Featuring Brendon Urie,58,55.0,2,14,26359b00-81fa-4f04-bcb5-d1f3955e72e7,danceable,pop,male,not_aggressive,voice,90.9808654785,F,0.97845607996,happy
Some Of It,2019-08-03,Eric Church,59,43.0,43,9,08eaa326-a4df-434f-a0fa-a950dc8ac51f,not_danceable,pop,male,not_aggressive,voice,161.530700684,C,0.92039513588,not_happy
One Thing Right,2019-08-03,Marshmello & Kane Brown,60,82.0,57,5,47fd8f25-3d73-4ab2-bb52-a3d3ddc7c728,danceable,pop,female,not_aggressive,voice,,,,happy
Antisocial,2019-08-03,Ed Sheeran & Travis Scott,62,37.0,37,2,b99da1d1-2b21-4b1d-831d-93494705e0df,,,,,,,,,
Press,2019-08-03,Cardi B,63,64.0,16,8,48f06882-f06a-4c31-ad96-b90a448cba02,danceable,rhy,female,not_aggressive,voice,133.730072021,A#,0.787681996822,not_happy
Easier,2019-08-03,5 Seconds Of Summer,64,63.0,48,9,2e723198-d600-4b52-9d24-aefb94da0dca,,,,,,,,,
Talk You Out Of It,2019-08-03,Florida Georgia Line,65,70.0,65,23,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy
Trampoline,2019-08-03,SHAED,67,72.0,67,8,51ae7463-3af5-4888-a468-895bebcbd37c,,,,,,,,,
The Ones That Didn't Make It Back Home,2019-08-03,Justin Moore,68,77.0,68,6,2038d56a-d59b-41fb-8912-c98be8249afc,danceable,roc,male,not_aggressive,voice,138.038726807,D#,0.931264281273,not_happy
The Archer,2019-08-03,Taylor Swift,69,,69,1,7237d88e-c070-4d21-9d55-fd124f568078,,,,,,,,,
EARFQUAKE,2019-08-03,"Tyler, The Creator",70,65.0,13,10,b9648e9e-e8b9-4db1-943e-eb1f6db72257,danceable,rhy,female,not_aggressive,voice,155.741531372,D,0.721960663795,not_happy
Raised On Country,2019-08-03,Chris Young,71,78.0,71,8,f302bbab-713d-4a98-81a5-c98ac879789d,danceable,roc,male,not_aggressive,voice,147.926177979,D,0.916578888893,happy
It's You,2019-08-03,Ali Gatie,72,74.0,70,6,d3641718-f119-4d3e-b9d3-3a284dbb8a4b,danceable,rhy,male,not_aggressive,instrumental,95.8860626221,A,0.841300785542,not_happy
Lalala,2019-08-03,Y2K & bbno$,77,76.0,68,4,672fb9a2-7560-4c1b-9516-40c39ce4e630,danceable,rhy,female,not_aggressive,voice,129.950088501,A#,0.897412121296,not_happy
Only Human,2019-08-03,Jonas Brothers,78,87.0,78,6,829ddfad-aad2-466a-a8c4-a60d67bba865,danceable,rhy,female,aggressive,voice,93.8261108398,C,0.950024247169,not_happy
Otro Trago,2019-08-03,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",79,84.0,79,7,6b048c69-73cf-4229-9006-0112dbea4adf,danceable,rhy,female,not_aggressive,instrumental,87.9576950073,F,0.948481440544,not_happy
Nightmare,2019-08-03,Halsey,81,59.0,15,10,7ea8826d-436c-420f-943d-ceb3d0c20892,danceable,pop,female,not_aggressive,voice,146.074478149,A,0.714864552021,not_happy
Hate Me,2019-08-03,Ellie Goulding & Juice WRLD,82,,82,1,261ac7b3-55d3-4be8-95e1-b9b89809c0f1,danceable,pop,female,not_aggressive,voice,150.060348511,A#,0.929631650448,not_happy
No Me Conoce,2019-08-03,"Jhay Cortez, J Balvin & Bad Bunny",83,88.0,83,3,6776b802-e31b-49d5-a594-23296644b905,,,,,,,,,
Cool,2019-08-03,Jonas Brothers,84,75.0,27,16,28a308df-f8e9-4a26-bfd9-a55feebb7049,,,,,,,,,
Before I Let Go,2019-08-03,Beyonce,85,85.0,65,14,cb6e819a-ce5c-4f70-b32b-f60ed4401604,danceable,pop,female,not_aggressive,instrumental,102.958877563,A#,0.937182247639,not_happy
I Don't Know About You,2019-08-03,Chris Lane,86,91.0,86,3,8bc989a4-3153-46ad-bc6f-03d9558a5a7b,danceable,pop,female,not_aggressive,voice,143.862808228,C#,0.86237424612,happy
Southbound,2019-08-03,Carrie Underwood,89,96.0,89,2,07f0e808-9012-4d53-b0df-a6cb3a4cf867,danceable,pop,female,not_aggressive,voice,100.489433289,F,0.964328944683,not_happy
Que Pretendes,2019-08-03,J Balvin & Bad Bunny,96,97.0,65,4,9fec67fc-8480-4df6-9f04-6f00c569ebfa,danceable,rhy,male,not_aggressive,instrumental,93.97290802,A#,0.960824012756,not_happy
Sanguine Paradise,2019-08-03,Lil Uzi Vert,97,95.0,28,15,dc31586e-3785-42f3-8a0e-5a885fe6b6a5,danceable,rhy,female,not_aggressive,voice,134.883071899,A,0.833666324615,not_happy
Tip Of My Tongue,2019-08-03,Kenny Chesney,98,83.0,83,2,033b6083-bdc7-4740-a8b2-a9546625550a,danceable,pop,male,not_aggressive,voice,95.0201721191,F,0.828563511372,not_happy
MEGATRON,2019-08-03,Nicki Minaj,100,,20,4,1327b608-c616-409e-bec0-0f11a78a662f,danceable,rhy,female,not_aggressive,voice,93.960395813,C,0.900866448879,happy
Bad Guy,2019-08-10,Billie Eilish,2,2.0,2,18,5fa39768-3e67-4e0d-a63a-29e022d2d00c,danceable,rhy,female,not_aggressive,voice,135.069717407,C,0.908594667912,not_happy
Senorita,2019-08-10,Shawn Mendes & Camila Cabello,3,3.0,2,6,bef6b06e-f06a-4af4-a4c4-8b91a9864847,,,,,,,,,
Truth Hurts,2019-08-10,Lizzo,4,5.0,4,13,8bcfe2b6-e4db-480e-ae0d-b8b107d20ad1,,,,,,,,,
Talk,2019-08-10,Khalid,5,4.0,3,25,5f65f0f1-3c21-4cf6-830b-c3acb516aca5,,,,,,,,,
No Guidance,2019-08-10,Chris Brown Featuring Drake,6,11.0,6,8,897719b4-e6dd-41c2-bd3d-9d43cab454a5,,,,,,,,,
I Don't Care,2019-08-10,Ed Sheeran & Justin Bieber,7,6.0,2,12,09fe14ca-7734-4fa0-9365-8159d236d7af,danceable,rhy,female,not_aggressive,voice,102.037666321,F#,0.942279100418,not_happy
Goodbyes,2019-08-10,Post Malone Featuring Young Thug,8,7.0,3,4,d23659cc-7bad-4cdc-93e1-ced6426e3c4b,,,,,,,,,
Sucker,2019-08-10,Jonas Brothers,9,8.0,1,22,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3,,,,,,,,,
You Need To Calm Down,2019-08-10,Taylor Swift,16,15.0,2,7,f40d709b-4e48-4e40-ab6b-4a02ec39498c,,,,,,,,,
"Hey Look Ma, I Made It",2019-08-10,Panic! At The Disco,17,16.0,16,16,057c8042-8030-4070-b01b-b11b00817a0d,not_danceable,pop,male,not_aggressive,voice,108.025169373,A#,0.916709542274,not_happy
Someone You Loved,2019-08-10,Lewis Capaldi,18,20.0,18,12,b3aa767f-c9a0-452f-ba68-ff682e6acb3a,,,,,,,,,
Dancing With A Stranger,2019-08-10,Sam Smith & Normani,19,17.0,7,29,aa243e48-c9f6-4753-8b42-b2342bb8988b,danceable,rhy,male,not_aggressive,voice,102.938369751,F,0.958320140839,not_happy
Wow.,2019-08-10,Post Malone,20,18.0,2,32,112ff70c-7e9a-46df-9235-e82939575ad0,,,,,,,,,
Beer Never Broke My Heart,2019-08-10,Luke Combs,21,24.0,21,13,51899a1a-8d48-4adb-a43a-1deef603de1a,,,,,,,,,
Without Me,2019-08-10,Halsey,22,22.0,1,43,6333397f-2ecb-43d0-927c-adbc36c1bede,,,,,,,,,
God's Country,2019-08-10,Blake Shelton,24,21.0,17,18,e0287d0e-9d09-4ced-9434-fb9c27d7d17d,danceable,pop,male,aggressive,instrumental,139.890838623,F,0.922444462776,not_happy
Happier,2019-08-10,Marshmello & Bastille,25,27.0,2,50,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Speechless,2019-08-10,Dan + Shay,26,30.0,24,32,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy
Pop Out,2019-08-10,Polo G Featuring Lil Tjay,27,26.0,11,19,a90d60b3-e647-4460-8258-e319f00c8e5d,danceable,hip,female,not_aggressive,voice,83.9410018921,A#,0.924027383327,happy
The London,2019-08-10,"Young Thug, J. Cole & Travis Scott",28,23.0,12,10,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy
Never Really Over,2019-08-10,Katy Perry,29,32.0,15,9,b6fe3b81-8eb9-48b9-8e2f-12ae87cb97c4,,,,,,,,,
7 Rings,2019-08-10,Ariana Grande,30,33.0,1,28,fc8a804f-7c62-4e99-b614-1f7eb75a9482,,,,,,,,,
Whiskey Glasses,2019-08-10,Morgan Wallen,35,35.0,17,22,fac61a09-4c85-4583-8786-ad7c41b00c48,danceable,roc,male,not_aggressive,voice,150.107376099,F#,0.960179388523,happy
Shotta Flow,2019-08-10,NLE Choppa,36,36.0,36,15,286c68bb-66a8-4b8b-b850-1a3c72762af7,danceable,hip,female,not_aggressive,voice,120.111732483,A#,0.770028114319,not_happy
Knockin' Boots,2019-08-10,Luke Bryan,37,38.0,37,14,34b5e938-5d4c-40ef-acb4-e8bb8c386d58,,,,,,,,,
My Type,2019-08-10,Saweetie,38,37.0,37,5,243f2558-8612-44b0-bf38-287acf7e44d7,danceable,hip,female,not_aggressive,voice,104.986694336,C,0.954523861408,happy
How Do You Sleep?,2019-08-10,Sam Smith,40,29.0,29,2,ebc71d87-c1c6-404c-84b9-3a8e92287268,,,,,,,,,
Baby,2019-08-10,Lil Baby & DaBaby,41,42.0,41,2,062f8de2-0b5a-467e-ae3f-70cc30440ccb,danceable,rhy,male,not_aggressive,voice,107.97882843,A#,0.697579324245,not_happy
All To Myself,2019-08-10,Dan + Shay,43,41.0,41,13,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy
Better,2019-08-10,Khalid,45,43.0,8,46,ba73118f-7c13-43f6-933c-9f048fe8c01f,danceable,hip,female,not_aggressive,instrumental,97.8721160889,A#,0.894053637981,not_happy
Rearview Town,2019-08-10,Jason Aldean,46,54.0,46,10,c674c4a2-aab4-401b-b763-225b55485908,,,,,,,,,
Shallow,2019-08-10,Lady Gaga & Bradley Cooper,47,47.0,1,44,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4,,,,,,,,,
Go Loko,2019-08-10,"YG, Tyga & Jon Z",54,56.0,49,13,3e011372-da42-41d4-b85e-c2b8d374c7fb,,,,,,,,,
One Thing Right,2019-08-10,Marshmello & Kane Brown,55,60.0,55,6,47fd8f25-3d73-4ab2-bb52-a3d3ddc7c728,danceable,pop,female,not_aggressive,voice,,,,happy
Easier,2019-08-10,5 Seconds Of Summer,57,64.0,48,10,2e723198-d600-4b52-9d24-aefb94da0dca,,,,,,,,,
Some Of It,2019-08-10,Eric Church,59,59.0,43,10,c00e7de7-3634-4615-ba09-72814b3870f8,,,,,,,,,
Trampoline,2019-08-10,SHAED,60,67.0,60,9,ce26aba2-f0bf-453e-a15a-5278ade478e8,danceable,rhy,female,not_aggressive,voice,126.766944885,F,0.914209425449,not_happy
ME!,2019-08-10,Taylor Swift Featuring Brendon Urie,61,58.0,2,15,26359b00-81fa-4f04-bcb5-d1f3955e72e7,danceable,pop,male,not_aggressive,voice,90.9808654785,F,0.97845607996,happy
