song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
For Once In My Life,1969-01-11,Stevie Wonder,7,2,2,11,250e218e-4a6d-449c-89c8-5ba9bf0da6ad
Crimson And Clover,1969-01-11,Tommy James And The Shondells,8,17,8,5,38812525-a9ab-4660-b6f5-7e34cd57af16
Love Child,1969-01-11,Diana Ross & The Supremes,9,7,1,13,2b8157a7-4407-477a-bf2d-305552380236
I Love How You Love Me,1969-01-11,Bobby Vinton,10,11,9,11,0d37948f-2c4b-490d-b65d-ce77f1585285
Cinnamon,1969-01-11,Derek,11,12,11,12,8a219f88-6b7a-4cc8-8234-68b3874420b7
Going Up The Country,1969-01-11,Canned Heat,12,15,12,6,47fc1445-1679-427f-a092-0ad000b48565
Son-Of-A Preacher Man,1969-01-11,Dusty Springfield,13,18,13,7,a88b2cf1-4edd-4b03-b689-0dc5a2b872ce
Lo Mucho Que Te Quiero (The More I Love You),1969-01-11,Rene & Rene,14,14,14,8,419f5748-4269-4e60-bd0e-ca736cdd2e52
"Abraham, Martin And John",1969-01-11,Dion,16,16,4,12,0d6cb0fb-46db-4ce0-9778-26af42071a40
If I Can Dream,1969-01-11,Elvis Presley,17,26,17,7,1bfc7aff-1d57-44e4-b15c-2236b704645f
Touch Me,1969-01-11,The Doors,18,37,18,3,7d0b3e3e-c6b9-4175-9325-628b27763fbd
I Started A Joke,1969-01-11,Bee Gees,19,40,19,4,0692067b-99d4-428a-ae6d-6c4b866b93c1
Worst That Could Happen,1969-01-11,Brooklyn Bridge,23,38,23,4,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400
A Ray Of Hope,1969-01-11,The Rascals,24,32,24,6,35be801e-ad5d-4d2f-8c24-8e67cbea7507
This Is My Country,1969-01-11,The Impressions,25,25,25,7,4919c5e5-185d-4aed-96c1-12dcbe59c59d
Everyday People,1969-01-11,Sly & The Family Stone,26,27,26,7,ecc132a8-1023-4105-a107-2aba9dbe3369
Hey Jude,1969-01-11,Wilson Pickett,27,28,27,4,a1c9dd97-c627-4ac7-97c9-0d1c331ea8a0
Can I Change My Mind,1969-01-11,Tyrone Davis,28,29,28,4,1deceddf-47cd-465c-98fc-9846f8df7c47
Magic Carpet Ride,1969-01-11,Steppenwolf,29,24,3,15,7cb902f6-92f5-4e73-810b-f5fce3b24187
Hey Jude,1969-01-11,The Beatles,30,23,1,18,8ab055d0-015c-41d7-8370-0ab958edbd52
Hang 'Em High,1969-01-11,Booker T. & The MG's,31,34,31,10,fd7c5062-d369-46d2-a0e1-febe4b477c0e
Scarborough Fair,1969-01-11,Sergio Mendes & Brasil '66,32,30,16,9,80b58ec6-7b9d-4a13-8cad-74198ef829c4
Stand By Your Man,1969-01-11,Tammy Wynette,33,33,33,10,c843899a-7996-4e9f-9df4-7c2ccf1a24e3
California Soul,1969-01-11,The 5th Dimension,34,57,34,4,4211de9d-96c3-45f2-ac14-5d49879286c0
There's Gonna Be A Showdown,1969-01-11,Archie Bell & The Drells,35,35,35,5,617db5ad-ef5a-4508-b7b5-1aba149a99c2
See Saw,1969-01-11,Aretha Franklin,36,20,14,8,b467d117-bd98-46a0-99f9-619829af3f60
Papa's Got A Brand New Bag,1969-01-11,Otis Redding,37,21,21,7,45d0c214-ced4-43de-a93d-bb3030312aff
Ready Or Not Here I Come (Can't Hide From Love),1969-01-11,The Delfonics,43,44,43,6,e5f7a88d-8dcf-4638-a710-98e8f16411eb
Battle Hymn Of The Republic,1969-01-11,Andy Williams with the St. Charles Borromeo Choir,44,41,33,13,9cc6128f-1584-4872-82ae-2d14872016e6
My Favorite Things,1969-01-11,Herb Alpert & The Tijuana Brass,45,46,45,5,d9f138cc-9ff7-45db-86c2-13f5cf4c51b9
