song,artist,this_week,last_week,peak_position,weeks_on_chart
"Shame, Shame",Magic Lanterns,79,62,29,12
American Boys,Petula Clark,80,69,59,8
Rain In My Heart,Frank Sinatra,81,82,81,2
Things I'd Like To Say,New Colony Six,82,96,82,3
Goodnight My Love,Paul Anka,83,100,83,2
The Thought Of Loving You,The Crystal Mansion,84,95,84,4
She's A Lady,John Sebastian,85,89,85,2
Eloise,Barry Ryan,86,91,86,3
Tit For Tat (Ain't No Taking Back),James Brown,87,86,86,4
Vance,Roger Miller,88,80,80,6
Kay,"John Wesley Ryles, I",89,87,87,3
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,90,92,90,2
Games People Play,Joe South,91,,91,1
Shout! - Part 1,Chambers Brothers,92,83,83,4
You've Got The Power,The Esquires,93,93,93,3
Looking Back,Joe Simon,94,94,91,4
If I Only Had Time,Nick DeCaro,95,,95,1
Ain't Got No; I Got Life,Nina Simone,96,99,96,2
Riot,Hugh Masekela,97,,97,1
Tragedy,Brian Hyland,98,,98,1
I'm Into Lookin' For Someone To Love Me,Bobby Vee,99,98,98,3
I Can't Help It (If I'm Still In Love With You),Al Martino,100,97,97,3
I Heard It Through The Grapevine,Marvin Gaye,1,1,1,9
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,2,2,2,7
Soulful Strut,Young-Holt Unlimited,3,4,3,8
Crimson And Clover,Tommy James And The Shondells,4,8,4,6
Hooked On A Feeling,B.J. Thomas,5,5,5,10
Wichita Lineman,Glen Campbell,6,3,3,12
For Once In My Life,Stevie Wonder,7,7,2,12
Touch Me,The Doors,8,18,8,4
Worst That Could Happen,Brooklyn Bridge,9,23,9,5
Son-Of-A Preacher Man,Dusty Springfield,10,13,10,8
Cinnamon,Derek,11,11,11,13
Going Up The Country,Canned Heat,12,12,12,7
Cloud Nine,The Temptations,13,6,6,10
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,14,14,14,9
Everyday People,Sly & The Family Stone,15,26,15,8
I Started A Joke,Bee Gees,16,19,16,5
If I Can Dream,Elvis Presley,17,17,17,8
