song,artist,this_week,last_week,peak_position,weeks_on_chart
No Matter What Sign You Are,Diana Ross & The Supremes,39,31,31,6
Mrs. Robinson,Booker T. & The MG's,40,45,40,5
The Days Of Sand And Shovels,Bobby Vinton,41,47,41,4
"Yesterday, When I Was Young",Roy Clark,42,50,42,4
Doggone Right,Smokey Robinson & The Miracles,43,48,43,3
So I Can Love You,The Emotions,44,56,44,7
Memphis Underground,Herbie Mann,45,54,45,7
But It's Alright,J.J. Jackson,46,52,22,20
Moonflight,Vik Venus Alias: Your Main Moon Man,47,68,47,4
Choice Of Colors,The Impressions,48,77,48,2
Moments To Remember,The Vogues,49,66,49,3
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,50,59,50,2
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,51,61,51,2
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,52,64,52,4
You Don't Have To Walk In The Rain,The Turtles,53,57,53,5
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro,54,49,48,9
It's Getting Better,Mama Cass,55,65,55,5
Special Delivery,1910 Fruitgum Co.,56,43,38,9
"Abraham, Martin And John",Moms Mabley,57,89,57,2
"Friend, Lover, Woman, Wife",O.C. Smith,58,53,47,9
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,59,71,59,3
Tomorrow Tomorrow,Bee Gees,60,58,54,6
Testify (I Wonna),Johnnie Taylor,61,40,36,9
Tell All The People,The Doors,62,69,62,4
I Want To Take You Higher,Sly & The Family Stone,63,60,60,7
Put A Little Love In Your Heart,Jackie DeShannon,64,85,64,2
Didn't We,Richard Harris,65,67,65,5
Along Came Jones,Ray Stevens,66,94,66,2
Listen To The Band,The Monkees,67,73,67,5
Reconsider Me,Johnny Adams,68,72,68,2
Hushabye,Jay & The Americans,69,62,62,6
Why I Sing The Blues,B.B. King,70,70,70,8
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,71,74,71,4
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,72,98,72,2
"Abraham, Martin And John",Smokey Robinson & The Miracles,73,,73,1
Girl You're Too Young,Archie Bell & The Drells,74,84,74,3
On Campus,Dickie Goodman,75,88,75,2
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,76,76,76,3
Hurt So Bad,The Lettermen,77,78,77,6
The Feeling Is Right,Clarence Carter,78,81,78,3
Feeling Alright,Joe Cocker,79,79,79,3
I'm Still A Struggling Man,Edwin Starr,80,80,80,2
"Baby, Don't Be Looking In My Mind",Joe Simon,81,83,81,3
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,82,82,82,4
While You're Out Looking For Sugar?,The Honey Cone,83,90,83,2
Without Her,Herb Alpert,84,63,63,6
I'd Wait A Million Years,The Grass Roots,85,,85,1
Polk Salad Annie,Tony Joe White,86,,86,1
Forever,Mercy,87,87,87,2
Muddy River,Johnny Rivers,88,97,88,2
Get Together,The Youngbloods,89,93,62,10
Clean Up Your Own Back Yard,Elvis Presley,90,,90,1
Never Comes The Day,The Moody Blues,91,92,91,2
Did You See Her Eyes,The Illusion,92,,92,1
Break Away,The Beach Boys,93,,93,1
Soul Deep,The Box Tops,94,,94,1
Don't Tell Your Mama (Where You've Been),Eddie Floyd,95,95,95,2
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,96,96,96,2
"Theme From ""A Summer Place""",The Ventures,97,100,97,2
I'll Never Fall In Love Again,Burt Bacharach,98,,98,1
Nothing Can Take The Place Of You,Brook Benton,99,,99,1
My Little Chickadee,The Foundations,100,,100,1
In The Year 2525,Zager & Evans,1,8,1,4
Spinning Wheel,"Blood, Sweat & Tears",2,2,2,7
Good Morning Starshine,Oliver,3,4,3,8
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,4,1,1,10
One,Three Dog Night,5,5,5,11
Crystal Blue Persuasion,Tommy James And The Shondells,6,7,6,6
Bad Moon Rising,Creedence Clearwater Revival,7,3,2,11
The Ballad Of John And Yoko,The Beatles,8,11,8,5
Color Him Father,The Winstons,9,9,9,8
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,10,14,10,9
My Cherie Amour,Stevie Wonder,11,16,11,7
Get Back,The Beatles With Billy Preston,12,6,1,10
Too Busy Thinking About My Baby,Marvin Gaye,13,10,4,12
Love Me Tonight,Tom Jones,14,15,14,8
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,15,18,15,5
In The Ghetto,Elvis Presley,16,12,3,11
"Baby, I Love You",Andy Kim,17,29,17,8
Black Pearl,"Sonny Charles And The Checkmates, Ltd.",18,13,13,10
Israelites,Desmond Dekker And The Aces,19,19,9,9
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,20,20,20,9
Grazing In The Grass,The Friends Of Distinction,21,17,3,15
Quentin's Theme,The Charles Randolph Grean Sounde,22,28,22,5
I Turned You On,The Isley Brothers,23,30,23,7
I Can Sing A Rainbow/Love Is Blue,The Dells,24,31,24,8
Moody Woman,Jerry Butler,25,26,25,7
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,26,37,26,6
Medicine Man (Part I),Buchanan Brothers,27,22,22,11
More Today Than Yesterday,Spiral Starecase,28,21,12,15
My Pledge Of Love,The Joe Jeffrey Group,29,33,29,6
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,30,50,30,3
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,31,51,31,3
"Yesterday, When I Was Young",Roy Clark,32,42,32,5
The Popcorn,James Brown,33,34,33,7
The Days Of Sand And Shovels,Bobby Vinton,34,41,34,5
With Pen In Hand,Vikki Carr,35,36,35,11
We Got More Soul,Dyke And The Blazers,36,35,35,9
Mrs. Robinson,Booker T. & The MG's,37,40,37,6
The Minotaur,Dick Hyman & His Electric Eclectics,38,38,38,7
Everyday With You Girl,Classics IV Featuring Dennis Yost,39,24,19,11
Choice Of Colors,The Impressions,40,48,40,3
Doggone Right,Smokey Robinson & The Miracles,41,43,41,4
"Abraham, Martin And John",Moms Mabley,42,57,42,3
Moonflight,Vik Venus Alias: Your Main Moon Man,43,47,43,5
So I Can Love You,The Emotions,44,44,44,8
Memphis Underground,Herbie Mann,45,45,45,8
But It's Alright,J.J. Jackson,46,46,22,21
Moments To Remember,The Vogues,47,49,47,4
"Abraham, Martin And John",Smokey Robinson & The Miracles,48,73,48,2
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,49,59,49,4
See,The Rascals,50,27,27,8
You Don't Have To Walk In The Rain,The Turtles,51,53,51,6
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,52,52,52,5
It's Getting Better,Mama Cass,53,55,53,6
Along Came Jones,Ray Stevens,54,66,54,3
Put A Little Love In Your Heart,Jackie DeShannon,55,64,55,3
Reconsider Me,Johnny Adams,56,68,56,3
Polk Salad Annie,Tony Joe White,57,86,57,2
Don't Let The Joneses Get You Down,The Temptations,58,32,20,8
I'd Wait A Million Years,The Grass Roots,59,85,59,2
Muddy River,Johnny Rivers,60,88,60,3
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,61,71,61,5
Tell All The People,The Doors,62,62,62,5
Didn't We,Richard Harris,63,65,63,6
Listen To The Band,The Monkees,64,67,64,6
Clean Up Your Own Back Yard,Elvis Presley,65,90,65,2
Why I Sing The Blues,B.B. King,66,70,66,9
On Campus,Dickie Goodman,67,75,67,3
Girl You're Too Young,Archie Bell & The Drells,68,74,68,4
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,69,72,69,3
Feeling Alright,Joe Cocker,70,79,70,4
The Feeling Is Right,Clarence Carter,71,78,71,4
"Baby, Don't Be Looking In My Mind",Joe Simon,72,81,72,4
Hurt So Bad,The Lettermen,73,77,73,7
Get Together,The Youngbloods,74,89,62,11
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,75,76,75,4
While You're Out Looking For Sugar?,The Honey Cone,76,83,76,3
Hushabye,Jay & The Americans,77,69,62,7
Did You See Her Eyes,The Illusion,78,92,78,2
Break Away,The Beach Boys,79,93,79,2
Forever,Mercy,80,87,80,3
Hey Joe,Wilson Pickett,81,,81,1
I'm Still A Struggling Man,Edwin Starr,82,80,80,3
Laughing,The Guess Who,83,,83,1
"Theme From ""A Summer Place""",The Ventures,84,97,84,3
Where Do I Go/Be-In/Hare Krishna,The Happenings,85,,85,1
Don't Tell Your Mama (Where You've Been),Eddie Floyd,86,95,86,3
Stay And Love Me All Summer,Brian Hyland,87,,87,1
Willie & Laura Mae Jones,Dusty Springfield,88,,88,1
Nothing Can Take The Place Of You,Brook Benton,89,99,89,2
Soul Deep,The Box Tops,90,94,90,2
Never Comes The Day,The Moody Blues,91,91,91,3
Wake Up,The Chambers Brothers,92,,92,1
I'll Never Fall In Love Again,Burt Bacharach,93,98,93,2
Lay Lady Lay,Bob Dylan,94,,94,1
Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,95,96,95,3
Birds Of A Feather,Joe South,96,,96,1
In The Time Of Our Lives,Iron Butterfly,97,,97,1
Pass The Apple Eve,B.J. Thomas,98,,98,1
My Little Chickadee,The Foundations,99,100,99,2
Abergavenny,Shannon,100,,100,1
In The Year 2525,Zager & Evans,1,1,1,5
Spinning Wheel,"Blood, Sweat & Tears",2,2,2,8
Good Morning Starshine,Oliver,3,3,3,9
Crystal Blue Persuasion,Tommy James And The Shondells,4,6,4,7
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,5,10,5,10
One,Three Dog Night,6,5,5,12
Color Him Father,The Winstons,7,9,7,9
The Ballad Of John And Yoko,The Beatles,8,8,8,6
My Cherie Amour,Stevie Wonder,9,11,9,8
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,10,4,1,11
Bad Moon Rising,Creedence Clearwater Revival,11,7,2,12
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,12,15,12,6
Love Me Tonight,Tom Jones,13,14,13,9
"Baby, I Love You",Andy Kim,14,17,14,9
Too Busy Thinking About My Baby,Marvin Gaye,15,13,4,13
Get Back,The Beatles With Billy Preston,16,12,1,11
In The Ghetto,Elvis Presley,17,16,3,12
Black Pearl,"Sonny Charles And The Checkmates, Ltd.",18,18,13,11
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,19,26,19,7
Quentin's Theme,The Charles Randolph Grean Sounde,20,22,20,6
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,21,20,20,10
I Can Sing A Rainbow/Love Is Blue,The Dells,22,24,22,9
I Turned You On,The Isley Brothers,23,23,23,8
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,24,30,24,4
Moody Woman,Jerry Butler,25,25,25,8
My Pledge Of Love,The Joe Jeffrey Group,26,29,26,7
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,27,31,27,4
Israelites,Desmond Dekker And The Aces,28,19,9,10
Grazing In The Grass,The Friends Of Distinction,29,21,3,16
The Popcorn,James Brown,30,33,30,8
"Yesterday, When I Was Young",Roy Clark,31,32,31,6
Choice Of Colors,The Impressions,32,40,32,4
"Abraham, Martin And John",Smokey Robinson & The Miracles,33,48,33,3
The Days Of Sand And Shovels,Bobby Vinton,34,34,34,6
"Abraham, Martin And John",Moms Mabley,35,42,35,4
We Got More Soul,Dyke And The Blazers,36,36,35,10
Doggone Right,Smokey Robinson & The Miracles,37,41,37,5
With Pen In Hand,Vikki Carr,38,35,35,12
So I Can Love You,The Emotions,39,44,39,9
Mrs. Robinson,Booker T. & The MG's,40,37,37,7
Along Came Jones,Ray Stevens,41,54,41,4
Moonflight,Vik Venus Alias: Your Main Moon Man,42,43,42,6
Polk Salad Annie,Tony Joe White,43,57,43,3
Memphis Underground,Herbie Mann,44,45,44,9
But It's Alright,J.J. Jackson,45,46,22,22
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,46,49,46,5
Reconsider Me,Johnny Adams,47,56,47,4
Put A Little Love In Your Heart,Jackie DeShannon,48,55,48,4
I'd Wait A Million Years,The Grass Roots,49,59,49,3
The Minotaur,Dick Hyman & His Electric Eclectics,50,38,38,8
You Don't Have To Walk In The Rain,The Turtles,51,51,51,7
It's Getting Better,Mama Cass,52,53,52,7
On Campus,Dickie Goodman,53,67,53,4
Clean Up Your Own Back Yard,Elvis Presley,54,65,54,3
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,55,52,52,6
Muddy River,Johnny Rivers,56,60,56,4
Moments To Remember,The Vogues,57,47,47,5
Tell All The People,The Doors,58,62,58,6
Girl You're Too Young,Archie Bell & The Drells,59,68,59,5
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,60,61,60,6
Why I Sing The Blues,B.B. King,61,66,61,10
Laughing,The Guess Who,62,83,62,2
Listen To The Band,The Monkees,63,64,63,7
Get Together,The Youngbloods,64,74,62,12
The Feeling Is Right,Clarence Carter,65,71,65,5
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,66,69,66,4
Hurt So Bad,The Lettermen,67,73,67,8
Break Away,The Beach Boys,68,79,68,3
Feeling Alright,Joe Cocker,69,70,69,5
Workin' On A Groovy Thing,The 5th Dimension,70,,70,1
Hey Joe,Wilson Pickett,71,81,71,2
"Baby, Don't Be Looking In My Mind",Joe Simon,72,72,72,5
I've Lost Everything I've Ever Loved,David Ruffin,73,,73,1
Soul Deep,The Box Tops,74,90,74,3
While You're Out Looking For Sugar?,The Honey Cone,75,76,75,4
Did You See Her Eyes,The Illusion,76,78,76,3
Where Do I Go/Be-In/Hare Krishna,The Happenings,77,85,77,2
Willie & Laura Mae Jones,Dusty Springfield,78,88,78,2
Honky Tonk Women,The Rolling Stones,79,,79,1
Forever,Mercy,80,80,80,4
I'm Still A Struggling Man,Edwin Starr,81,82,80,4
Stay And Love Me All Summer,Brian Hyland,82,87,82,2
"Theme From ""A Summer Place""",The Ventures,83,84,83,4
Nothing Can Take The Place Of You,Brook Benton,84,89,84,3
Don't Tell Your Mama (Where You've Been),Eddie Floyd,85,86,85,4
Marrakesh Express,"Crosby, Stills & Nash",86,,86,1
Your Good Thing (Is About To End),Lou Rawls,87,,87,1
The Nitty Gritty,Gladys Knight And The Pips,88,,88,1
Abergavenny,Shannon,89,100,89,2
I'm Free,The Who,90,,90,1
Never Comes The Day,The Moody Blues,91,91,91,4
Wake Up,The Chambers Brothers,92,92,92,2
Lay Lady Lay,Bob Dylan,93,94,93,2
Till You Get Enough,The Watts 103rd Street Rhythm Band,94,,94,1
That's The Way,Joe Tex,95,,95,1
In The Time Of Our Lives,Iron Butterfly,96,97,96,2
Your Husband - My Wife,Brooklyn Bridge,97,,97,1
Pass The Apple Eve,B.J. Thomas,98,98,98,2
Jack And Jill,Tommy Roe,99,,99,1
Birthday,Underground Sunshine,100,,100,1
In The Year 2525,Zager & Evans,1,1,1,6
Crystal Blue Persuasion,Tommy James And The Shondells,2,4,2,8
Spinning Wheel,"Blood, Sweat & Tears",3,2,2,9
My Cherie Amour,Stevie Wonder,4,9,4,9
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,5,5,5,11
Good Morning Starshine,Oliver,6,3,3,10
One,Three Dog Night,7,6,5,13
The Ballad Of John And Yoko,The Beatles,8,8,8,7
"Baby, I Love You",Andy Kim,9,14,9,10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,10,10,1,12
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,11,12,11,7
Color Him Father,The Winstons,12,7,7,10
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,13,24,13,5
My Pledge Of Love,The Joe Jeffrey Group,14,26,14,8
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,15,19,15,8
Bad Moon Rising,Creedence Clearwater Revival,16,11,2,13
Too Busy Thinking About My Baby,Marvin Gaye,17,15,4,14
Black Pearl,"Sonny Charles And The Checkmates, Ltd.",18,18,13,12
Quentin's Theme,The Charles Randolph Grean Sounde,19,20,19,7
Love Me Tonight,Tom Jones,20,13,13,10
"Yesterday, When I Was Young",Roy Clark,21,31,21,7
Polk Salad Annie,Tony Joe White,22,43,22,4
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,23,21,20,11
Moody Woman,Jerry Butler,24,25,24,9
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,25,27,25,5
In The Ghetto,Elvis Presley,26,17,3,13
Get Back,The Beatles With Billy Preston,27,16,1,12
Honky Tonk Women,The Rolling Stones,28,79,28,2
Choice Of Colors,The Impressions,29,32,29,5
I Turned You On,The Isley Brothers,30,23,23,9
Laughing,The Guess Who,31,62,31,3
Doggone Right,Smokey Robinson & The Miracles,32,37,32,6
"Abraham, Martin And John",Smokey Robinson & The Miracles,33,33,33,4
Put A Little Love In Your Heart,Jackie DeShannon,34,48,34,5
"Abraham, Martin And John",Moms Mabley,35,35,35,5
I Can Sing A Rainbow/Love Is Blue,The Dells,36,22,22,10
The Popcorn,James Brown,37,30,30,9
Reconsider Me,Johnny Adams,38,47,38,5
Along Came Jones,Ray Stevens,39,41,39,5
Moonflight,Vik Venus Alias: Your Main Moon Man,40,42,40,7
With Pen In Hand,Vikki Carr,41,38,35,13
A Boy Named Sue,Johnny Cash,42,,42,1
I'd Wait A Million Years,The Grass Roots,43,49,43,4
Get Together,The Youngbloods,44,64,44,13
But It's Alright,J.J. Jackson,45,45,22,23
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,46,46,46,6
Clean Up Your Own Back Yard,Elvis Presley,47,54,47,4
The Days Of Sand And Shovels,Bobby Vinton,48,34,34,7
It's Getting Better,Mama Cass,49,52,49,8
Workin' On A Groovy Thing,The 5th Dimension,50,70,50,2
On Campus,Dickie Goodman,51,53,51,5
Mrs. Robinson,Booker T. & The MG's,52,40,37,8
So I Can Love You,The Emotions,53,39,39,10
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,54,60,54,7
Muddy River,Johnny Rivers,55,56,55,5
Lay Lady Lay,Bob Dylan,56,93,56,3
Marrakesh Express,"Crosby, Stills & Nash",57,86,57,2
Tell All The People,The Doors,58,58,58,7
Girl You're Too Young,Archie Bell & The Drells,59,59,59,6
Hurt So Bad,The Lettermen,60,67,60,9
True Grit,Glen Campbell,61,,61,1
Give Peace A Chance,Plastic Ono Band,62,,62,1
Did You See Her Eyes,The Illusion,63,76,63,4
Soul Deep,The Box Tops,64,74,64,4
The Feeling Is Right,Clarence Carter,65,65,65,6
I've Lost Everything I've Ever Loved,David Ruffin,66,73,66,2
Break Away,The Beach Boys,67,68,67,4
Hey Joe,Wilson Pickett,68,71,68,3
Feeling Alright,Joe Cocker,69,69,69,6
Memphis Underground,Herbie Mann,70,44,44,10
(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,71,66,66,5
The Nitty Gritty,Gladys Knight And The Pips,72,88,72,2
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,73,55,52,7
While You're Out Looking For Sugar?,The Honey Cone,74,75,74,5
Listen To The Band,The Monkees,75,63,63,8
Birthday,Underground Sunshine,76,100,76,2
Where Do I Go/Be-In/Hare Krishna,The Happenings,77,77,77,3
Willie & Laura Mae Jones,Dusty Springfield,78,78,78,3
Forever,Mercy,79,80,79,5
Your Husband - My Wife,Brooklyn Bridge,80,97,80,2
Abergavenny,Shannon,81,89,81,3
Stay And Love Me All Summer,Brian Hyland,82,82,82,3
"Theme From ""A Summer Place""",The Ventures,83,83,83,5
Don't Tell Your Mama (Where You've Been),Eddie Floyd,84,85,84,5
I'm Free,The Who,85,90,85,2
I'll Never Fall In Love Again,Tom Jones,86,,49,8
Your Good Thing (Is About To End),Lou Rawls,87,87,87,2
Till You Get Enough,The Watts 103rd Street Rhythm Band,88,94,88,2
Jack And Jill,Tommy Roe,89,99,89,2
Odds And Ends,Dionne Warwick,90,,90,1
"Sugar, Sugar",The Archies,91,,91,1
Everybody Knows Matilda,Duke Baxter,92,,92,1
First Hymn From Grand Terrace,Mark Lindsay,93,,93,1
Let Yourself Go,The Friends Of Distinction,94,,94,1
That's The Way,Joe Tex,95,95,95,2
"Love Theme From ""Romeo And Juliet"" (A Time For Us)",Johnny Mathis,96,,96,1
Pass The Apple Eve,B.J. Thomas,97,98,97,3
Ease Back,The Meters,98,,98,1
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials,99,,99,1
Big Bruce,Steve Greenberg,100,,100,1
In The Year 2525,Zager & Evans,1,1,1,7
Crystal Blue Persuasion,Tommy James And The Shondells,2,2,2,9
Spinning Wheel,"Blood, Sweat & Tears",3,3,2,10
My Cherie Amour,Stevie Wonder,4,4,4,10
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,5,5,5,12
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,6,15,6,9
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,7,13,7,6
Honky Tonk Women,The Rolling Stones,8,28,8,3
"Baby, I Love You",Andy Kim,9,9,9,11
The Ballad Of John And Yoko,The Beatles,10,8,8,8
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,11,11,11,8
Color Him Father,The Winstons,12,12,7,11
Quentin's Theme,The Charles Randolph Grean Sounde,13,19,13,8
My Pledge Of Love,The Joe Jeffrey Group,14,14,14,9
Good Morning Starshine,Oliver,15,6,3,11
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,16,10,1,13
One,Three Dog Night,17,7,5,14
Polk Salad Annie,Tony Joe White,18,22,18,5
"Yesterday, When I Was Young",Roy Clark,19,21,19,8
A Boy Named Sue,Johnny Cash,20,42,20,2
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,21,25,21,6
Bad Moon Rising,Creedence Clearwater Revival,22,16,2,14
Love Me Tonight,Tom Jones,23,20,13,11
Choice Of Colors,The Impressions,24,29,24,6
Put A Little Love In Your Heart,Jackie DeShannon,25,34,25,6
Laughing,The Guess Who,26,31,26,4
Along Came Jones,Ray Stevens,27,39,27,6
Reconsider Me,Johnny Adams,28,38,28,6
Get Together,The Youngbloods,29,44,29,14
I Turned You On,The Isley Brothers,30,30,23,10
Too Busy Thinking About My Baby,Marvin Gaye,31,17,4,15
Doggone Right,Smokey Robinson & The Miracles,32,32,32,7
Moody Woman,Jerry Butler,33,24,24,10
Black Pearl,"Sonny Charles And The Checkmates, Ltd.",34,18,13,13
Lay Lady Lay,Bob Dylan,35,56,35,4
It's Getting Better,Mama Cass,36,49,36,9
Clean Up Your Own Back Yard,Elvis Presley,37,47,37,5
Marrakesh Express,"Crosby, Stills & Nash",38,57,38,3
Moonflight,Vik Venus Alias: Your Main Moon Man,39,40,39,8
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,40,23,20,12
I'd Wait A Million Years,The Grass Roots,41,43,41,5
Workin' On A Groovy Thing,The 5th Dimension,42,50,42,3
Give Peace A Chance,Plastic Ono Band,43,62,43,2
True Grit,Glen Campbell,44,61,44,2
On Campus,Dickie Goodman,45,51,45,6
"Abraham, Martin And John",Smokey Robinson & The Miracles,46,33,33,5
"Abraham, Martin And John",Moms Mabley,47,35,35,6
Hurt So Bad,The Lettermen,48,60,48,10
The Days Of Sand And Shovels,Bobby Vinton,49,48,34,8
Soul Deep,The Box Tops,50,64,50,5
Muddy River,Johnny Rivers,51,55,51,6
I'll Never Fall In Love Again,Tom Jones,52,86,49,9
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,53,46,46,7
"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,54,54,54,8
Share Your Love With Me,Aretha Franklin,55,,55,1
Birthday,Underground Sunshine,56,76,56,3
Tell All The People,The Doors,57,58,57,8
Did You See Her Eyes,The Illusion,58,63,58,5
Your Husband - My Wife,Brooklyn Bridge,59,80,59,3
I'm Free,The Who,60,85,60,3
Your Good Thing (Is About To End),Lou Rawls,61,87,61,3
Hey Joe,Wilson Pickett,62,68,62,4
Break Away,The Beach Boys,63,67,63,5
Girl You're Too Young,Archie Bell & The Drells,64,59,59,7
The Nitty Gritty,Gladys Knight And The Pips,65,72,65,3
I've Lost Everything I've Ever Loved,David Ruffin,66,66,66,3
"Sugar, Sugar",The Archies,67,91,67,2
While You're Out Looking For Sugar?,The Honey Cone,68,74,68,6
Everybody Knows Matilda,Duke Baxter,69,92,69,2
Green River,Creedence Clearwater Revival,70,,70,1
Commotion,Creedence Clearwater Revival,71,,71,1
Abergavenny,Shannon,72,81,72,4
Where Do I Go/Be-In/Hare Krishna,The Happenings,73,77,73,4
Till You Get Enough,The Watts 103rd Street Rhythm Band,74,88,74,3
Don't Tell Your Mama (Where You've Been),Eddie Floyd,75,84,75,6
Ease Back,The Meters,76,98,76,2
Nobody But You Babe,Clarence Reid,77,,77,1
Jack And Jill,Tommy Roe,78,89,78,3
Odds And Ends,Dionne Warwick,79,90,79,2
Nothing Can Take The Place Of You,Brook Benton,80,,80,4
Simple Song Of Freedom,Tim Hardin,81,,81,1
Change Of Heart,Dennis Yost And The Classics IV,82,,82,1
First Hymn From Grand Terrace,Mark Lindsay,83,93,83,2
That's The Way God Planned It,Billy Preston,84,,84,1
Let Yourself Go,The Friends Of Distinction,85,94,85,2
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,86,,86,1
Dynamite Woman,Sir Douglas Quintet,87,,87,1
The Young Folks,Diana Ross & The Supremes,88,,88,1
In My Room,Sagittarius,89,,89,1
By The Time I Get To Phoenix,The Mad Lads,90,,90,1
Keem-O-Sabe,The Electric Indian,91,,91,1
Let's Call It A Day Girl,Bobby Vee,92,,92,1
The Hunter,Ike & Tina Turner,93,,93,1
That's The Way,Joe Tex,94,95,94,3
Hook And Sling-Part I,Eddie Bo,95,,95,1
You Made A Believer (Out Of Me),Ruby Andrews,96,,96,1
Let Me Be The Man My Daddy Was,The Chi-lites,97,,97,1
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials,98,99,98,2
Big Bruce,Steve Greenberg,99,100,99,2
In A Moment,The Intrigues,100,,100,1
In The Year 2525,Zager & Evans,1,1,1,8
Crystal Blue Persuasion,Tommy James And The Shondells,2,2,2,10
Honky Tonk Women,The Rolling Stones,3,8,3,4
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,4,5,4,13
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,5,7,5,7
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,6,6,6,10
A Boy Named Sue,Johnny Cash,7,20,7,3
My Cherie Amour,Stevie Wonder,8,4,4,11
Put A Little Love In Your Heart,Jackie DeShannon,9,25,9,7
"Baby, I Love You",Andy Kim,10,9,9,12
Spinning Wheel,"Blood, Sweat & Tears",11,3,2,11
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,12,11,11,9
Quentin's Theme,The Charles Randolph Grean Sounde,13,13,13,9
Polk Salad Annie,Tony Joe White,14,18,14,6
Color Him Father,The Winstons,15,12,7,12
My Pledge Of Love,The Joe Jeffrey Group,16,14,14,10
Good Morning Starshine,Oliver,17,15,3,12
One,Three Dog Night,18,17,5,15
Lay Lady Lay,Bob Dylan,19,35,19,5
Laughing,The Guess Who,20,26,20,5
Get Together,The Youngbloods,21,29,21,15
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,22,16,1,14
Give Peace A Chance,Plastic Ono Band,23,43,23,3
Choice Of Colors,The Impressions,24,24,24,7
"Yesterday, When I Was Young",Roy Clark,25,19,19,9
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,26,21,21,7
Along Came Jones,Ray Stevens,27,27,27,7
Reconsider Me,Johnny Adams,28,28,28,7
The Ballad Of John And Yoko,The Beatles,29,10,8,9
I'd Wait A Million Years,The Grass Roots,30,41,30,6
