song,artist,this_week,last_week,peak_position,weeks_on_chart
You Say,Lauren Daigle,29,32,29,36
MIA,Bad Bunny Featuring Drake,30,28,5,23
ZEZE,Kodak Black Featuring Travis Scott & Offset,31,29,2,23
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,32,51,32,3
Youngblood,5 Seconds Of Summer,33,33,7,42
Pure Water,Mustard & Migos,34,40,34,8
Robbery,Juice WRLD,35,27,27,5
Look Back At It,A Boogie Wit da Hoodie,36,36,32,15
Baby Shark,Pinkfong,37,35,32,12
Tequila,Dan + Shay,38,34,21,46
Envy Me,Calboy,39,43,39,14
Lucid Dreams,Juice WRLD,40,37,2,45
Talk,Khalid,41,42,41,6
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",42,39,11,25
Mixed Personalities,YNW Melly Featuring Kanye West,43,46,43,9
I Like It,"Cardi B, Bad Bunny & J Balvin",44,44,1,50
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,45,49,38,13
Bury A Friend,Billie Eilish,46,45,14,8
Millionaire,Chris Stapleton,47,53,47,15
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,48,54,48,7
Put A Date On It,Yo Gotti Featuring Lil Baby,49,56,49,8
Act Up,City Girls,50,63,50,3
Twerk,City Girls Featuring Cardi B,51,50,29,11
Girls Need Love,Summer Walker X Drake,52,52,37,4
Here Tonight,Brett Young,53,60,53,11
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,54,64,54,6
Numb Numb Juice,ScHoolboy Q,55,,55,1
Worth It,YK Osiris,56,62,56,5
Pure Cocaine,Lil Baby,57,72,46,13
Close Friends,Lil Baby,58,66,28,21
Bad Liar,Imagine Dragons,59,70,59,4
Hear Me Calling,Juice WRLD,60,38,38,3
Eyes On You,Chase Rice,61,69,61,5
Sally Walker,Iggy Azalea,62,,62,1
Take It From Me,Jordan Davis,63,58,46,12
This Is It,Scotty McCreery,64,55,42,15
Shot Clock,Ella Mai,65,71,65,8
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",66,97,66,3
Empty,Juice WRLD,67,41,41,2
Undrunk,FLETCHER,68,85,68,2
Good As You,Kane Brown,69,73,69,4
Saturday Nights,Khalid & Kane Brown,70,78,57,7
I,Lil Skies,71,57,39,3
There Was This Girl,Riley Green,72,74,71,4
Undecided,Chris Brown,73,67,35,11
Girl Like You,Jason Aldean,74,68,46,17
Whiskey Glasses,Morgan Wallen,75,80,75,3
Make It Sweet,Old Dominion,76,79,76,12
Miss Me More,Kelsea Ballerini,77,83,77,7
One That Got Away,Michael Ray,78,84,78,4
Here With Me,Marshmello Featuring CHVRCHES,79,75,75,2
Look What God Gave Her,Thomas Rhett,80,82,52,3
Down To The Honkytonk,Jake Owen,81,76,69,12
GIRL,Maren Morris,82,61,61,3
Ella Quiere Beber,Anuel AA & Romeo Santos,83,81,61,20
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,84,96,84,2
Night Shift,Jon Pardi,85,86,85,5
Fast,Juice WRLD,86,47,47,2
Wish You Were Gay,Billie Eilish,87,59,59,3
Rumor,Lee Brice,88,88,88,2
Walk Me Home,P!nk,89,,54,3
Faucet Failure,Ski Mask The Slump God,90,99,87,4
Calma,Pedro Capo X Farruko,91,92,91,2
Calling My Spirit,Kodak Black,92,87,46,16
Talk You Out Of It,Florida Georgia Line,93,98,80,5
Secreto,Anuel AA & Karol G,94,89,68,7
On My Way To You,Cody Johnson,95,,91,6
Slow Dancing In The Dark,Joji,96,,96,1
Let Me Down Slowly,Alec Benjamin + Alessia Cara,97,,79,6
Lovely,Billie Eilish & Khalid,98,93,64,20
My Bad,Khalid,99,77,77,2
Love Wins,Carrie Underwood,100,,83,9
7 Rings,Ariana Grande,1,1,1,10
Wow.,Post Malone,2,4,2,14
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,3,1,23
Without Me,Halsey,4,2,1,25
Please Me,Cardi B & Bruno Mars,5,5,3,6
Happier,Marshmello & Bastille,6,6,2,32
Middle Child,J. Cole,7,9,4,10
Thotiana,Blueface,8,11,8,11
Sucker,Jonas Brothers,9,8,1,4
Shallow,Lady Gaga & Bradley Cooper,10,7,1,26
Eastside,"benny blanco, Halsey & Khalid",11,12,9,37
Going Bad,Meek Mill Featuring Drake,12,10,6,17
High Hopes,Panic! At The Disco,13,14,4,34
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,14,15,2,7
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15,32,15,4
Better,Khalid,16,18,16,28
Dancing With A Stranger,Sam Smith & Normani,17,17,17,11
Sicko Mode,Travis Scott,18,13,1,34
Murder On My Mind,YNW Melly,19,16,14,10
Sweet But Psycho,Ava Max,20,20,20,15
"Thank U, Next",Ariana Grande,21,19,1,21
A Lot,21 Savage,22,21,12,14
Girls Like You,Maroon 5 Featuring Cardi B,23,22,1,44
Be Alright,Dean Lewis,24,23,23,22
Beautiful Crazy,Luke Combs,25,25,23,20
Drip Too Hard,Lil Baby & Gunna,26,24,4,28
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,27,28,27,19
Money,Cardi B,28,26,13,23
Better Now,Post Malone,29,27,3,48
You Say,Lauren Daigle,30,29,29,37
Pure Water,Mustard & Migos,31,34,31,9
Youngblood,5 Seconds Of Summer,32,33,7,43
Baby Shark,Pinkfong,33,37,32,13
MIA,Bad Bunny Featuring Drake,34,30,5,24
Look Back At It,A Boogie Wit da Hoodie,35,36,32,16
Envy Me,Calboy,36,39,36,15
Robbery,Juice WRLD,37,35,27,6
ZEZE,Kodak Black Featuring Travis Scott & Offset,38,31,2,24
Tequila,Dan + Shay,39,38,21,47
Talk,Khalid,40,41,40,7
Bury A Friend,Billie Eilish,41,46,14,9
Mixed Personalities,YNW Melly Featuring Kanye West,42,43,42,10
Act Up,City Girls,43,50,43,4
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,44,45,38,14
I Like It,"Cardi B, Bad Bunny & J Balvin",45,44,1,51
Put A Date On It,Yo Gotti Featuring Lil Baby,46,49,46,9
Lucid Dreams,Juice WRLD,47,40,2,46
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",48,42,11,26
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,49,48,48,8
Twerk,City Girls Featuring Cardi B,50,51,29,12
Here Tonight,Brett Young,51,53,51,12
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,54,52,7
Here With Me,Marshmello Featuring CHVRCHES,53,79,53,3
Eyes On You,Chase Rice,54,61,54,6
Worth It,YK Osiris,55,56,55,6
Bad Liar,Imagine Dragons,56,59,56,5
Close Friends,Lil Baby,57,58,28,22
Girls Need Love,Summer Walker X Drake,58,52,37,5
Good As You,Kane Brown,59,69,59,5
Miss Me More,Kelsea Ballerini,60,77,60,8
Undrunk,FLETCHER,61,68,61,3
Shot Clock,Ella Mai,62,65,62,9
Walk Me Home,P!nk,63,89,54,4
Millionaire,Chris Stapleton,64,47,47,16
Down To The Honkytonk,Jake Owen,65,81,65,13
Whiskey Glasses,Morgan Wallen,66,75,66,4
One That Got Away,Michael Ray,67,78,67,5
This Is It,Scotty McCreery,68,64,42,16
Look What God Gave Her,Thomas Rhett,69,80,52,4
Pure Cocaine,Lil Baby,70,57,46,14
There Was This Girl,Riley Green,71,72,71,5
Price On My Head,NAV Featuring The Weeknd,72,,72,1
Saturday Nights,Khalid & Kane Brown,73,70,57,8
Make It Sweet,Old Dominion,74,76,74,13
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,75,84,75,3
Girl Like You,Jason Aldean,76,74,46,18
GIRL,Maren Morris,77,82,61,4
Confessions Of A Dangerous Mind,Logic,78,,78,1
Take It From Me,Jordan Davis,79,63,46,13
Splashin,Rich The Kid,80,,80,5
Night Shift,Jon Pardi,81,85,81,6
I,Lil Skies,82,71,39,4
Rumor,Lee Brice,83,88,83,3
Wish You Were Gay,Billie Eilish,84,87,59,4
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",85,66,66,4
Hear Me Calling,Juice WRLD,86,60,38,4
Faucet Failure,Ski Mask The Slump God,87,90,87,5
Talk You Out Of It,Florida Georgia Line,88,93,80,6
Tap,NAV Featuring Meek Mill,89,,89,1
Calma,Pedro Capo X Farruko,90,91,90,3
Undecided,Chris Brown,91,73,35,12
On My Way To You,Cody Johnson,92,95,91,7
Secreto,Anuel AA & Karol G,93,94,68,8
Calling My Spirit,Kodak Black,94,92,46,17
Pop Out,Polo G Featuring Lil Tjay,95,,95,1
Lovely,Billie Eilish & Khalid,96,98,64,21
Don't Call Me Up,Mabel,97,,97,1
Last Hurrah,Bebe Rexha,98,,98,1
Empty,Juice WRLD,99,67,41,3
Love Wins,Carrie Underwood,100,100,83,10
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,15,1,5
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,3,1,24
7 Rings,Ariana Grande,3,1,1,11
Wow.,Post Malone,4,2,2,15
Without Me,Halsey,5,4,1,26
Please Me,Cardi B & Bruno Mars,6,5,3,7
Bad Guy,Billie Eilish,7,,7,1
Sucker,Jonas Brothers,8,9,1,5
Happier,Marshmello & Bastille,9,6,2,33
Middle Child,J. Cole,10,7,4,11
Shallow,Lady Gaga & Bradley Cooper,11,10,1,27
Eastside,"benny blanco, Halsey & Khalid",12,11,9,38
Thotiana,Blueface,13,8,8,12
Going Bad,Meek Mill Featuring Drake,14,12,6,18
Dancing With A Stranger,Sam Smith & Normani,15,17,15,12
Better,Khalid,16,16,16,29
High Hopes,Panic! At The Disco,17,13,4,35
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,18,14,2,8
Sweet But Psycho,Ava Max,19,20,19,16
Sicko Mode,Travis Scott,20,18,1,35
Murder On My Mind,YNW Melly,21,19,14,11
A Lot,21 Savage,22,22,12,15
Girls Like You,Maroon 5 Featuring Cardi B,23,23,1,45
"Thank U, Next",Ariana Grande,24,21,1,22
Bury A Friend,Billie Eilish,25,41,14,10
Beautiful Crazy,Luke Combs,26,25,23,21
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,27,27,27,20
Be Alright,Dean Lewis,28,24,23,23
When The Party's Over,Billie Eilish,29,,29,21
Drip Too Hard,Lil Baby & Gunna,30,26,4,29
Wish You Were Gay,Billie Eilish,31,84,31,5
You Say,Lauren Daigle,32,30,29,38
Pure Water,Mustard & Migos,33,31,31,10
Better Now,Post Malone,34,29,3,49
Xanny,Billie Eilish,35,,35,1
Money,Cardi B,36,28,13,24
Look Back At It,A Boogie Wit da Hoodie,37,35,32,17
Envy Me,Calboy,38,36,36,16
Talk,Khalid,39,40,39,8
Youngblood,5 Seconds Of Summer,40,32,7,44
You Should See Me In A Crown,Billie Eilish,41,,41,2
Baby Shark,Pinkfong,42,33,32,14
My Strange Addiction,Billie Eilish,43,,43,1
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,44,,44,1
MIA,Bad Bunny Featuring Drake,45,34,5,25
All The Good Girls Go To Hell,Billie Eilish,46,,46,1
Act Up,City Girls,47,43,43,5
Robbery,Juice WRLD,48,37,27,7
ZEZE,Kodak Black Featuring Travis Scott & Offset,49,38,2,25
Tequila,Dan + Shay,50,39,21,48
Here Tonight,Brett Young,51,51,51,13
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,52,44,38,15
I Love You,Billie Eilish,53,,53,1
Mixed Personalities,YNW Melly Featuring Kanye West,54,42,42,11
Here With Me,Marshmello Featuring CHVRCHES,55,53,53,4
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,56,52,52,8
Put A Date On It,Yo Gotti Featuring Lil Baby,57,46,46,10
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,58,49,48,9
God's Country,Blake Shelton,59,,59,1
Worth It,YK Osiris,60,55,55,7
Eyes On You,Chase Rice,61,54,54,7
Ilomilo,Billie Eilish,62,,62,1
Listen Before I Go,Billie Eilish,63,,63,1
Close Friends,Lil Baby,64,57,28,23
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,65,,65,1
Bad Liar,Imagine Dragons,66,56,56,6
Whiskey Glasses,Morgan Wallen,67,66,66,5
Good As You,Kane Brown,68,59,59,6
One That Got Away,Michael Ray,69,67,67,6
Monopoly,Ariana Grande & Victoria Monet,70,,70,1
Miss Me More,Kelsea Ballerini,71,60,60,9
Shot Clock,Ella Mai,72,62,62,10
Make It Sweet,Old Dominion,73,74,73,14
Look What God Gave Her,Thomas Rhett,74,69,52,5
There Was This Girl,Riley Green,75,71,71,6
Girls Need Love,Summer Walker X Drake,76,58,37,6
Undrunk,FLETCHER,77,61,61,4
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,78,75,75,4
8,Billie Eilish,79,,79,1
Walk Me Home,P!nk,80,63,54,5
Saturday Nights,Khalid & Kane Brown,81,73,57,9
Last Time That I Checc'd,Nipsey Hussle Featuring YG,82,,82,1
Twerk,City Girls Featuring Cardi B,83,50,29,13
GIRL,Maren Morris,84,77,61,5
Lovely,Billie Eilish & Khalid,85,96,64,22
Calma,Pedro Capo X Farruko,86,90,86,4
Suge,DaBaby,87,,87,1
Night Shift,Jon Pardi,88,81,81,7
This Is It,Scotty McCreery,89,68,42,17
Rumor,Lee Brice,90,83,83,4
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",91,85,66,5
Don't Call Me Up,Mabel,92,97,92,2
Dedication,Nipsey Hussle Featuring Kendrick Lamar,93,,93,1
Ocean Eyes,Billie Eilish,94,,94,7
Millionaire,Chris Stapleton,95,64,47,17
Talk You Out Of It,Florida Georgia Line,96,88,80,7
Faucet Failure,Ski Mask The Slump God,97,87,87,6
Girl Like You,Jason Aldean,98,76,46,19
Pure Cocaine,Lil Baby,99,70,46,15
Pop Out,Polo G Featuring Lil Tjay,100,95,95,2
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,1,6
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2,1,25
Wow.,Post Malone,3,4,2,16
7 Rings,Ariana Grande,4,3,1,12
Without Me,Halsey,5,5,1,27
Sucker,Jonas Brothers,6,8,1,6
Please Me,Cardi B & Bruno Mars,7,6,3,8
Better,Khalid,8,16,8,30
Middle Child,J. Cole,9,10,4,12
Happier,Marshmello & Bastille,10,9,2,34
Bad Guy,Billie Eilish,11,7,7,2
Dancing With A Stranger,Sam Smith & Normani,12,15,12,13
Shallow,Lady Gaga & Bradley Cooper,13,11,1,28
Eastside,"benny blanco, Halsey & Khalid",14,12,9,39
Going Bad,Meek Mill Featuring Drake,15,14,6,19
Sweet But Psycho,Ava Max,16,19,16,17
Thotiana,Blueface,17,13,8,13
Talk,Khalid,18,39,18,9
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,19,18,2,9
High Hopes,Panic! At The Disco,20,17,4,36
Beautiful Crazy,Luke Combs,21,26,21,22
A Lot,21 Savage,22,22,12,16
Girls Like You,Maroon 5 Featuring Cardi B,23,23,1,46
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,24,27,24,21
Sicko Mode,Travis Scott,25,20,1,36
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,44,26,2
Cool,Jonas Brothers,27,,27,1
Murder On My Mind,YNW Melly,28,21,14,12
Be Alright,Dean Lewis,29,28,23,24
Bury A Friend,Billie Eilish,30,25,14,11
"Thank U, Next",Ariana Grande,31,24,1,23
Drip Too Hard,Lil Baby & Gunna,32,30,4,30
Pure Water,Mustard & Migos,33,33,31,11
Envy Me,Calboy,34,38,34,17
You Say,Lauren Daigle,35,32,29,39
Look Back At It,A Boogie Wit da Hoodie,36,37,32,18
Better Now,Post Malone,37,34,3,50
Tequila,Dan + Shay,38,50,21,49
When The Party's Over,Billie Eilish,39,29,29,22
Act Up,City Girls,40,47,40,6
Kill This Love,BLACKPINK,41,,41,1
Baby Shark,Pinkfong,42,42,32,15
Youngblood,5 Seconds Of Summer,43,40,7,45
Money,Cardi B,44,36,13,25
Here Tonight,Brett Young,45,51,45,14
Here With Me,Marshmello Featuring CHVRCHES,46,55,46,5
MIA,Bad Bunny Featuring Drake,47,45,5,26
Look What God Gave Her,Thomas Rhett,48,74,48,6
God's Country,Blake Shelton,49,59,49,2
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,50,52,38,16
Wish You Were Gay,Billie Eilish,51,31,31,6
Eyes On You,Chase Rice,52,61,52,8
Good As You,Kane Brown,53,68,53,7
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,54,56,52,9
My Bad,Khalid,55,,55,3
Mixed Personalities,YNW Melly Featuring Kanye West,56,54,42,12
Saturday Nights,Khalid & Kane Brown,57,81,57,10
Outta My Head,Khalid With John Mayer,58,,58,1
Robbery,Juice WRLD,59,48,27,8
Make It Sweet,Old Dominion,60,73,60,15
Worth It,YK Osiris,61,60,55,8
Whiskey Glasses,Morgan Wallen,62,67,62,6
Suge,DaBaby,63,87,63,2
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,64,58,48,10
Close Friends,Lil Baby,65,64,28,24
Miss Me More,Kelsea Ballerini,66,71,60,10
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,67,78,67,5
You Should See Me In A Crown,Billie Eilish,68,41,41,3
Monopoly,Ariana Grande & Victoria Monet,69,70,69,2
There Was This Girl,Riley Green,70,75,70,7
My Strange Addiction,Billie Eilish,71,43,43,2
Shot Clock,Ella Mai,72,72,62,11
Walk Me Home,P!nk,73,80,54,6
Bad Liar,Imagine Dragons,74,66,56,7
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,75,65,65,2
Last Time That I Checc'd,Nipsey Hussle Featuring YG,76,82,76,2
Undrunk,FLETCHER,77,77,61,5
Rumor,Lee Brice,78,90,78,5
Night Shift,Jon Pardi,79,88,79,8
Don't Call Me Up,Mabel,80,92,80,3
Girls Need Love,Summer Walker X Drake,81,76,37,7
GIRL,Maren Morris,82,84,61,6
Put A Date On It,Yo Gotti Featuring Lil Baby,83,57,46,11
Don't Pretend,Khalid x SAFE,84,,84,1
Calma,Pedro Capo X Farruko,85,86,85,5
Xanny,Billie Eilish,86,35,35,2
Bad Luck,Khalid,87,,87,1
One That Got Away,Michael Ray,88,69,67,7
Pop Out,Polo G Featuring Lil Tjay,89,100,89,3
This Is It,Scotty McCreery,90,89,42,18
Faucet Failure,Ski Mask The Slump God,91,97,87,7
All The Good Girls Go To Hell,Billie Eilish,92,46,46,2
Right Back,Khalid Featuring A Boogie Wit da Hoodie,93,,93,1
Talk You Out Of It,Florida Georgia Line,94,96,80,8
Inmortal,Aventura,95,,95,1
Ocean Eyes,Billie Eilish,96,94,94,8
Dedication,Nipsey Hussle Featuring Kendrick Lamar,97,93,93,2
Let Me Down Slowly,Alec Benjamin + Alessia Cara,98,,79,7
Big Ole Freak,Megan Thee Stallion,99,,99,1
Victory Lap,Nipsey Hussle Featuring Stacy Barthe,100,,100,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,1,7
Wow.,Post Malone,2,3,2,17
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,2,1,26
7 Rings,Ariana Grande,4,4,1,13
Without Me,Halsey,5,5,1,28
Sucker,Jonas Brothers,6,6,1,7
Dancing With A Stranger,Sam Smith & Normani,7,12,7,14
Boy With Luv,BTS Featuring Halsey,8,,8,1
Bad Guy,Billie Eilish,9,11,7,3
Please Me,Cardi B & Bruno Mars,10,7,3,9
Middle Child,J. Cole,11,9,4,13
Happier,Marshmello & Bastille,12,10,2,35
Sweet But Psycho,Ava Max,13,16,13,18
Thotiana,Blueface,14,17,8,14
Going Bad,Meek Mill Featuring Drake,15,15,6,20
Shallow,Lady Gaga & Bradley Cooper,16,13,1,29
Better,Khalid,17,8,8,31
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,18,19,2,10
Eastside,"benny blanco, Halsey & Khalid",19,14,9,40
Talk,Khalid,20,18,18,10
High Hopes,Panic! At The Disco,21,20,4,37
A Lot,21 Savage,22,22,12,17
Girls Like You,Maroon 5 Featuring Cardi B,23,23,1,47
Beautiful Crazy,Luke Combs,24,21,21,23
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,25,24,24,22
Sicko Mode,Travis Scott,26,25,1,37
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,27,26,26,3
Sanguine Paradise,Lil Uzi Vert,28,,28,1
Murder On My Mind,YNW Melly,29,28,14,13
Be Alright,Dean Lewis,30,29,23,25
Bury A Friend,Billie Eilish,31,30,14,12
Drip Too Hard,Lil Baby & Gunna,32,32,4,31
Pure Water,Mustard & Migos,33,33,31,12
"Thank U, Next",Ariana Grande,34,31,1,24
Envy Me,Calboy,35,34,34,18
Act Up,City Girls,36,40,36,7
Look Back At It,A Boogie Wit da Hoodie,37,36,32,19
When The Party's Over,Billie Eilish,38,39,29,23
Better Now,Post Malone,39,37,3,51
You Say,Lauren Daigle,40,35,29,40
Here With Me,Marshmello Featuring CHVRCHES,41,46,41,6
Here Tonight,Brett Young,42,45,42,15
Baby Shark,Pinkfong,43,42,32,16
Eyes On You,Chase Rice,44,52,44,9
MIA,Bad Bunny Featuring Drake,45,47,5,27
God's Country,Blake Shelton,46,49,46,3
Youngblood,5 Seconds Of Summer,47,43,7,46
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,48,50,38,17
Tequila,Dan + Shay,49,38,21,50
Money,Cardi B,50,44,13,26
Suge,DaBaby,51,63,51,3
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,54,52,10
Look What God Gave Her,Thomas Rhett,53,48,48,7
Good As You,Kane Brown,54,53,53,8
Whiskey Glasses,Morgan Wallen,55,62,55,7
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,56,64,48,11
Make It Sweet,Old Dominion,57,60,57,16
Close Friends,Lil Baby,58,65,28,25
Mixed Personalities,YNW Melly Featuring Kanye West,59,56,42,13
Worth It,YK Osiris,60,61,55,9
Robbery,Juice WRLD,61,59,27,9
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,67,62,6
Miss Me More,Kelsea Ballerini,63,66,60,11
Wish You Were Gay,Billie Eilish,64,51,31,7
You Should See Me In A Crown,Billie Eilish,65,68,41,4
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",66,,66,1
Don't Call Me Up,Mabel,67,80,67,4
SOS,Avicii Featuring Aloe Blacc,68,,68,1
Rumor,Lee Brice,69,78,69,6
Night Shift,Jon Pardi,70,79,70,9
Walk Me Home,P!nk,71,73,54,7
Clout,Offset Featuring Cardi B,72,,64,2
Kill This Love,BLACKPINK,73,41,41,2
Pop Out,Polo G Featuring Lil Tjay,74,89,74,4
Cool,Jonas Brothers,75,27,27,2
That's A Rack,Lil Uzi Vert,76,,76,1
Girls Need Love,Summer Walker X Drake,77,81,37,8
Shot Clock,Ella Mai,78,72,62,12
GIRL,Maren Morris,79,82,61,7
Bad Liar,Imagine Dragons,80,74,56,8
Love Ain't,Eli Young Band,81,,81,1
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,82,75,65,3
Undrunk,FLETCHER,83,77,61,6
Big Ole Freak,Megan Thee Stallion,84,99,84,2
Put A Date On It,Yo Gotti Featuring Lil Baby,85,83,46,12
Saturday Nights,Khalid & Kane Brown,86,57,57,11
One That Got Away,Michael Ray,87,88,67,8
My Strange Addiction,Billie Eilish,88,71,43,3
Faucet Failure,Ski Mask The Slump God,89,91,87,8
Xanny,Billie Eilish,90,86,35,3
Ocean Eyes,Billie Eilish,91,96,91,9
Last Time That I Checc'd,Nipsey Hussle Featuring YG,92,76,76,3
Talk You Out Of It,Florida Georgia Line,93,94,80,9
I'm So Tired...,Lauv & Troye Sivan,94,,86,2
Make It Right,BTS Featuring Lauv,95,,95,1
"Hey Look Ma, I Made It",Panic! At The Disco,96,,96,1
This Is It,Scotty McCreery,97,90,42,19
There Was This Girl,Riley Green,98,70,70,8
Let Me Down Slowly,Alec Benjamin + Alessia Cara,99,98,79,8
On My Way To You,Cody Johnson,100,,91,8
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,1,8
Wow.,Post Malone,2,2,2,18
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,3,1,27
7 Rings,Ariana Grande,4,4,1,14
Sucker,Jonas Brothers,5,6,1,8
Without Me,Halsey,6,5,1,29
Dancing With A Stranger,Sam Smith & Normani,7,7,7,15
Talk,Khalid,8,20,8,11
Bad Guy,Billie Eilish,9,9,7,4
Middle Child,J. Cole,10,11,4,14
Sweet But Psycho,Ava Max,11,13,11,19
Happier,Marshmello & Bastille,12,12,2,36
Please Me,Cardi B & Bruno Mars,13,10,3,10
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,14,18,2,11
Shallow,Lady Gaga & Bradley Cooper,15,16,1,30
Going Bad,Meek Mill Featuring Drake,16,15,6,21
Earth,Lil Dicky,17,,17,1
Eastside,"benny blanco, Halsey & Khalid",18,19,9,41
Better,Khalid,19,17,8,32
High Hopes,Panic! At The Disco,20,21,4,38
Thotiana,Blueface,21,14,8,15
Girls Like You,Maroon 5 Featuring Cardi B,22,23,1,48
Pure Water,Mustard & Migos,23,33,23,13
A Lot,21 Savage,24,22,12,18
Sicko Mode,Travis Scott,25,26,1,38
Beautiful Crazy,Luke Combs,26,24,21,24
Be Alright,Dean Lewis,27,30,23,26
Look Back At It,A Boogie Wit da Hoodie,28,37,28,20
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,29,25,24,23
Act Up,City Girls,30,36,30,8
Envy Me,Calboy,31,35,31,19
Sanguine Paradise,Lil Uzi Vert,32,28,28,2
Drip Too Hard,Lil Baby & Gunna,33,32,4,32
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,34,56,34,12
Murder On My Mind,YNW Melly,35,29,14,14
Bury A Friend,Billie Eilish,36,31,14,13
Here With Me,Marshmello Featuring CHVRCHES,37,41,37,7
When The Party's Over,Billie Eilish,38,38,29,24
Clout,Offset Featuring Cardi B,39,72,39,3
Boy With Luv,BTS Featuring Halsey,40,8,8,2
"Thank U, Next",Ariana Grande,41,34,1,25
Better Now,Post Malone,42,39,3,52
God's Country,Blake Shelton,43,46,43,4
Eyes On You,Chase Rice,44,44,44,10
You Say,Lauren Daigle,45,40,29,41
Suge,DaBaby,46,51,46,4
Baby Shark,Pinkfong,47,43,32,17
Whiskey Glasses,Morgan Wallen,48,55,48,8
Here Tonight,Brett Young,49,42,42,16
Youngblood,5 Seconds Of Summer,50,47,7,47
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,51,27,26,4
Good As You,Kane Brown,52,54,52,9
Look What God Gave Her,Thomas Rhett,53,53,48,8
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,54,48,38,18
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,55,52,52,11
Make It Sweet,Old Dominion,56,57,56,17
Close Friends,Lil Baby,57,58,28,26
Worth It,YK Osiris,58,60,55,10
Miss Me More,Kelsea Ballerini,59,63,59,12
Pop Out,Polo G Featuring Lil Tjay,60,74,60,5
Night Shift,Jon Pardi,61,70,61,10
Walk Me Home,P!nk,62,71,54,8
Mixed Personalities,YNW Melly Featuring Kanye West,63,59,42,14
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,64,62,62,7
You Should See Me In A Crown,Billie Eilish,65,65,41,5
Robbery,Juice WRLD,66,61,27,10
